Img	Time(s)	Epsilon
129	0.48	0.05
130	0.47	0.05
131	0.479	0.05
132	0.596	0.05
133	0.485	0.05
134	0.471	0.05
135	0.473	0.05
136	0.469	0.05
137	0.491	0.05
138	0.469	0.05
139	0.605	0.05
140	0.469	0.05
141	0.482	0.05
142	0.471	0.05
143	0.457	0.05
144	0.472	0.05
145	0.47	0.05
146	0.606	0.05
147	0.467	0.05
148	0.465	0.05
149	0.468	0.05
150	0.483	0.05
1	0.482	0.075
2	0.481	0.075
3	0.721	0.075
4	0.464	0.075
5	0.47	0.075
6	0.468	0.075
7	0.47	0.075
8	0.494	0.075
9	0.469	0.075
10	0.714	0.075
11	0.467	0.075
12	0.48	0.075
13	0.478	0.075
14	0.466	0.075
15	0.472	0.075
16	0.483	0.075
17	0.706	0.075
18	0.473	0.075
19	0.473	0.075
20	0.478	0.075
21	0.471	0.075
22	0.465	0.075
23	0.478	0.075
24	0.73	0.075
25	0.464	0.075
26	0.485	0.075
27	0.47	0.075
28	0.476	0.075
29	0.471	0.075
30	0.474	0.075
31	0.716	0.075
32	0.476	0.075
33	0.474	0.075
34	0.466	0.075
35	0.469	0.075
36	0.494	0.075
37	0.467	0.075
38	0.714	0.075
39	0.476	0.075
40	0.49	0.075
41	0.473	0.075
42	0.469	0.075
43	0.468	0.075
44	0.482	0.075
45	0.721	0.075
46	0.463	0.075
47	0.477	0.075
48	0.479	0.075
49	0.468	0.075
50	0.47	0.075
51	0.473	0.075
52	0.714	0.075
53	0.47	0.075
54	0.479	0.075
55	0.467	0.075
56	0.47	0.075
57	0.481	0.075
58	0.465	0.075
59	0.715	0.075
60	0.474	0.075
61	0.47	0.075
62	0.473	0.075
63	0.465	0.075
64	0.471	0.075
65	0.487	0.075
66	0.708	0.075
67	0.473	0.075
68	0.485	0.075
69	0.492	0.075
70	0.467	0.075
71	0.48	0.075
72	0.481	0.075
73	0.737	0.075
74	0.459	0.075
75	0.475	0.075
76	0.48	0.075
77	0.475	0.075
78	0.477	0.075
79	0.468	0.075
80	0.71	0.075
81	0.476	0.075
82	0.475	0.075
83	0.467	0.075
84	0.469	0.075
85	0.481	0.075
86	0.471	0.075
87	0.713	0.075
88	0.471	0.075
89	0.479	0.075
90	0.469	0.075
91	0.474	0.075
92	0.47	0.075
93	0.489	0.075
94	0.713	0.075
95	0.464	0.075
96	0.471	0.075
97	0.488	0.075
98	0.472	0.075
99	0.478	0.075
100	0.465	0.075
101	0.73	0.075
102	0.468	0.075
103	0.461	0.075
104	0.48	0.075
105	0.479	0.075
106	0.472	0.075
107	0.466	0.075
108	0.603	0.075
109	0.464	0.075
110	0.484	0.075
111	0.467	0.075
112	0.457	0.075
113	0.475	0.075
114	0.479	0.075
115	0.6	0.075
116	0.473	0.075
117	0.471	0.075
118	0.479	0.075
119	0.476	0.075
120	0.467	0.075
121	0.469	0.075
122	0.604	0.075
123	0.463	0.075
124	0.465	0.075
125	0.465	0.075
126	0.468	0.075
127	0.479	0.075
128	0.468	0.075
129	0.611	0.075
130	0.475	0.075
131	0.486	0.075
132	0.455	0.075
133	0.467	0.075
