Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.05	7.453408236091625	2
1	1	0.05	7.257483180983622	2
1	3	0.05	7.477678832738126	2
1	4	0.05	7.215313881894337	2
1	5	0.05	7.4577039928521005	2
1	6	0.05	7.500439341562362	2
1	7	0.05	7.560002175750983	2
1	8	0.05	7.554478849359518	2
1	9	0.05	7.353495854015342	2
2	1	0.05	-6.3633081259086905	0
2	2	0.05	-4.183411882456724	0
2	3	0.05	-7.17691520327607	0
2	4	0.05	-2.1659838266650246	0
2	5	0.05	-2.4859664766584424	0
2	6	0.05	-2.546898001380412	0
2	7	0.05	-6.570271824835857	0
2	8	0.05	-3.470497745336648	0
2	9	0.05	-6.754281286302394	0
3	0	0.05	1.0881961574369	4
3	1	0.05	2.7940616266674416	4
3	2	0.05	4.0625975600066	4
3	3	0.05	4.7917785559012085	4
3	5	0.05	2.618350056271551	4
3	6	0.05	3.735848997569769	4
3	7	0.05	5.690739362198603	4
3	8	0.05	5.576260411355365	4
3	9	0.05	5.112618093741417	4
4	0	0.05	7.6313475748116515	8
4	1	0.05	7.605948256348967	8
4	2	0.05	7.621864092989182	8
4	3	0.05	7.5631210004752	8
4	4	0.05	7.561001395048896	8
4	5	0.05	7.547420073985375	8
4	6	0.05	7.642772890331267	8
4	7	0.05	7.654747992816293	8
4	9	0.05	7.4971259980418825	8
5	0	0.05	5.52284721353252	7
5	1	0.05	4.508522626851773	7
5	2	0.05	6.331335773373191	7
5	3	0.05	5.649687572706438	7
5	4	0.05	4.087175698114053	7
5	5	0.05	5.099858921069134	7
5	6	0.05	1.9436524764347427	7
5	8	0.05	5.443595367135249	7
5	9	0.05	6.827590395722151	7
6	0	0.05	6.268624785614241	6
6	1	0.05	5.976367640833895	6
6	2	0.05	7.464362308366248	6
6	3	0.05	5.869694229428259	6
6	4	0.05	7.296558132654128	6
6	5	0.05	6.511863130562447	6
6	7	0.05	6.008048559668877	6
6	8	0.05	6.905276583473156	6
6	9	0.05	5.642238607789912	6
7	1	0.05	-4.149602639476835	0
7	2	0.05	-0.1843654718344684	0
7	3	0.05	-1.8022498612672009	0
7	4	0.05	-1.1714154342393956	0
7	5	0.05	0.604903152465818	0
7	6	0.05	-0.02213691760542706	0
7	7	0.05	-0.28422834867540725	0
7	8	0.05	-3.6970805721948925	0
7	9	0.05	-3.801432782128481	0
8	0	0.05	7.5740695381329886	6
8	1	0.05	7.56899039657547	6
8	2	0.05	7.5392983467134185	6
8	3	0.05	7.5249228785278435	6
8	4	0.05	7.523978737799424	6
8	5	0.05	7.531302741331626	6
8	7	0.05	7.640752562580558	6
8	8	0.05	7.63129681821378	6
8	9	0.05	7.466591206205438	6
9	0	0.05	1.389088394179974	3
9	1	0.05	6.873402505946264	3
9	2	0.05	7.21820094624164	3
9	4	0.05	6.268943684590887	3
9	5	0.05	7.465330128264016	3
9	6	0.05	1.8204576899200107	3
9	7	0.05	3.529152972029969	3
9	8	0.05	7.543133613083203	3
9	9	0.05	4.036181522465237	3
10	0	0.05	7.5009333789146435	1
10	2	0.05	7.553880780002532	1
10	3	0.05	7.480257965740631	1
10	4	0.05	7.321580363745183	1
10	5	0.05	7.5060947253389	1
10	6	0.05	7.574660340725421	1
10	7	0.05	7.417549433854964	1
10	8	0.05	7.590080057025852	1
10	9	0.05	6.773728009310607	1
11	0	0.05	4.888672436318899	8
11	1	0.05	5.558381184212938	8
11	2	0.05	6.803084101458148	8
11	3	0.05	4.9687405563706735	8
11	4	0.05	5.445778789702187	8
11	5	0.05	7.258270851323576	8
11	6	0.05	7.627188378844523	8
11	7	0.05	2.4607788389453105	8
11	9	0.05	6.246840008954937	8
12	1	0.05	-7.517555625493402	0
12	2	0.05	-0.3158107865656597	0
12	3	0.05	-1.0236575343975456	0
12	4	0.05	-6.239754219862036	0
12	5	0.05	-6.446976139374107	0
12	6	0.05	-4.34097807660672	0
12	7	0.05	-4.5073688126167495	0
12	8	0.05	-3.032345510441238	0
12	9	0.05	-2.8907912087460734	0
13	0	0.05	7.5826006112022615	7
13	1	0.05	6.068334386633763	7
13	2	0.05	7.616770995566937	7
13	3	0.05	7.567636727168315	7
13	4	0.05	5.727020153366669	7
13	5	0.05	7.455433461260095	7
13	6	0.05	4.543492250109107	7
13	8	0.05	7.097116597562801	7
13	9	0.05	7.452295975947177	7
14	0	0.05	1.582230907618092	9
14	1	0.05	0.15424906764269375	9
14	2	0.05	0.9525762001623006	9
14	3	0.05	5.28181966062249	9
14	4	0.05	3.1349869387283773	9
14	5	0.05	4.151204605958367	9
14	6	0.05	0.11502463340947543	9
14	7	0.05	6.0872482146171665	9
14	8	0.05	7.1263966573149125	9
15	0	0.05	-0.06765542773552563	8
15	1	0.05	-5.267471151665596	8
15	2	0.05	1.2660382439960352	8
15	3	0.05	-0.015286515926199416	8
15	4	0.05	-5.263758623712769	8
15	5	0.05	-3.3704493006594283	8
15	6	0.05	-5.217429705893072	8
15	7	0.05	-4.949614604802602	8
15	9	0.05	-1.1367095957252527	8
16	0	0.05	5.632030309166527	4
16	1	0.05	-0.9877825525510001	4
16	2	0.05	2.8677270279096563	4
16	3	0.05	-0.9237749984192104	4
16	5	0.05	-0.49315209982779795	4
16	6	0.05	5.317693791653641	4
16	7	0.05	2.028338608528481	4
16	8	0.05	6.061820963937469	4
16	9	0.05	4.4259199235719	4
17	0	0.05	6.82392297829598	5
17	1	0.05	3.788677753910934	5
17	2	0.05	5.113981896618942	5
17	3	0.05	5.605848065480684	5
17	4	0.05	4.106942683544141	5
17	6	0.05	6.127831944570733	5
17	7	0.05	4.674589271801638	5
17	8	0.05	5.380912170982073	5
17	9	0.05	5.019000977224654	5
18	0	0.05	7.3257908489362835	3
18	1	0.05	7.353614556186601	3
18	2	0.05	5.519248382564326	3
18	4	0.05	6.381214305369251	3
18	5	0.05	7.481593592489459	3
18	6	0.05	6.373354770791605	3
18	7	0.05	5.821834652145501	3
18	8	0.05	6.296240184776929	3
18	9	0.05	6.663938599398681	3
19	0	0.05	4.698541720392392	4
19	1	0.05	7.100277717539044	4
19	2	0.05	5.222938466065735	4
19	3	0.05	6.989968060369569	4
19	5	0.05	5.813922528535439	4
19	6	0.05	5.829711368795748	4
19	7	0.05	7.281679464684878	4
19	8	0.05	7.490537990305031	4
19	9	0.05	7.268736488994858	4
20	1	0.05	5.9082848709059865	0
20	2	0.05	7.534671719655161	0
20	3	0.05	7.46877704690995	0
20	4	0.05	5.651481082766903	0
20	5	0.05	7.496507264314846	0
20	6	0.05	6.811275784909017	0
20	7	0.05	7.526117522178851	0
20	8	0.05	7.5971856838779335	0
20	9	0.05	7.33626837825367	0
21	0	0.05	7.563263380667456	6
21	1	0.05	7.572732896022361	6
21	2	0.05	7.544625211493569	6
21	3	0.05	7.525869682794724	6
21	4	0.05	7.532698479288961	6
21	5	0.05	7.532306784869923	6
21	7	0.05	7.661179729575638	6
21	8	0.05	7.633393004743179	6
21	9	0.05	7.486907790493404	6
22	0	0.05	6.980981506164112	6
22	1	0.05	7.56723220940374	6
22	2	0.05	7.540320384625376	6
22	3	0.05	7.517907767154453	6
22	4	0.05	7.527296473739084	6
22	5	0.05	7.523937132917516	6
22	7	0.05	7.647794036914433	6
22	8	0.05	7.623566494911022	6
22	9	0.05	7.463493894719169	6
23	0	0.05	7.563979374541947	3
23	1	0.05	7.550056273665586	3
