Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	-7.890588421532215	2
1	1	0.025	-7.7923638490238725	2
1	3	0.025	-7.729178307795031	2
1	4	0.025	-7.8646667951020035	2
1	5	0.025	-7.9261511615873514	2
1	6	0.025	-5.225053109615074	2
1	7	0.025	-7.805658252805117	2
1	8	0.025	-7.890447888424348	2
1	9	0.025	-7.7953439155788855	2
2	1	0.025	-7.683261839142408	0
2	2	0.025	-7.613200490358139	0
2	3	0.025	-7.5571089663924536	0
2	4	0.025	-7.7644173673478925	0
2	5	0.025	-7.744803125737101	0
2	6	0.025	-7.606080503271079	0
2	7	0.025	-7.616252762728793	0
2	8	0.025	-7.596773348890884	0
2	9	0.025	-7.616714654446516	0
3	0	0.025	-7.786192618245265	4
3	1	0.025	-7.734199613157653	4
3	2	0.025	-7.704181423986192	4
3	3	0.025	-7.687964564110391	4
3	5	0.025	-7.84899795400181	4
3	6	0.025	-7.74067057003186	4
3	7	0.025	-7.662574675906795	4
3	8	0.025	-7.775037502827429	4
3	9	0.025	-3.246487770150809	4
4	0	0.025	-7.77634185354048	8
4	1	0.025	-7.650638232464028	8
4	2	0.025	-7.639178937882072	8
4	3	0.025	-3.515057762481377	8
4	4	0.025	-7.730759758198533	8
4	5	0.025	-1.025797066660123	8
4	6	0.025	-3.249523406030282	8
4	7	0.025	-7.643883922452112	8
4	9	0.025	-6.557502962013851	8
5	0	0.025	-7.720967967086728	7
5	1	0.025	-7.647273049860807	7
5	2	0.025	-7.630240368754298	7
5	3	0.025	-7.4185844375618135	7
5	4	0.025	-7.66397895468535	7
5	5	0.025	-7.710446420221388	7
5	6	0.025	-7.724288019197048	7
5	8	0.025	-7.734096855254727	7
5	9	0.025	-7.4387915374595215	7
6	0	0.025	-7.963378610010643	6
6	1	0.025	-7.870152721152096	6
6	2	0.025	-7.787926381747228	6
6	3	0.025	-7.88055522436787	6
6	4	0.025	-7.911469155336431	6
6	5	0.025	-6.090081687354597	6
6	7	0.025	-7.845825775722347	6
6	8	0.025	-7.552005892385105	6
6	9	0.025	-7.829873064936595	6
7	1	0.025	-7.685603202879078	0
7	2	0.025	-7.615088110190784	0
7	3	0.025	-7.55999493962558	0
7	4	0.025	-7.769878203454268	0
7	5	0.025	-7.747887099475821	0
7	6	0.025	-7.648180282529342	0
7	7	0.025	-7.617286768444867	0
7	8	0.025	-7.808612621197045	0
7	9	0.025	-7.613557042824205	0
8	0	0.025	-4.353216535443801	6
8	1	0.025	-4.239064845604731	6
8	2	0.025	-4.191829843766638	6
8	3	0.025	-4.178378618728052	6
8	4	0.025	-4.309641961347698	6
8	5	0.025	-1.1213954986184083	6
8	7	0.025	-4.240689059667188	6
8	8	0.025	-0.6779212222631471	6
8	9	0.025	-4.259424972324002	6
9	0	0.025	-7.7965340439671404	3
9	1	0.025	-7.675172488177163	3
9	2	0.025	-7.598678939908963	3
9	4	0.025	-7.695702752994159	3
9	5	0.025	-5.194070154355501	3
9	6	0.025	-7.731960602657866	3
9	7	0.025	-7.695255221602342	3
9	8	0.025	-6.707649470751684	3
9	9	0.025	-7.73936538301935	3
10	0	0.025	-7.777747737397815	1
10	2	0.025	-7.566137539580066	1
10	3	0.025	-7.60454765100212	1
10	4	0.025	-7.747561527570845	1
10	5	0.025	-7.589339617566066	1
10	6	0.025	-7.707568892478601	1
10	7	0.025	-7.666965435728491	1
10	8	0.025	-7.7858817008199255	1
10	9	0.025	-7.669723117152573	1
11	0	0.025	-7.139514920044772	8
11	1	0.025	-7.0384034242540165	8
11	2	0.025	-6.987354259582988	8
11	3	0.025	-7.0145697464815795	8
11	4	0.025	-7.086395645790402	8
11	5	0.025	-0.7821433190351443	8
11	6	0.025	-0.33594283127512164	8
11	7	0.025	-7.031370134805354	8
11	9	0.025	-7.066613483244951	8
12	1	0.025	-7.677925699829393	0
12	2	0.025	-7.584911741603682	0
12	3	0.025	-7.54281620041495	0
12	4	0.025	-7.761917466913007	0
12	5	0.025	-7.742143983461089	0
12	6	0.025	-7.633339759050444	0
12	7	0.025	-7.616808471718939	0
12	8	0.025	-7.739639094839381	0
12	9	0.025	-7.6180945112010585	0
13	0	0.025	-7.686309385873465	7
13	1	0.025	-7.613204234749028	7
13	2	0.025	-6.85362422783916	7
13	3	0.025	-6.9356460761608325	7
13	4	0.025	-7.6384528006229875	7
13	5	0.025	-7.465013140921175	7
13	6	0.025	-7.687564446888009	7
13	8	0.025	-7.6956946893474125	7
13	9	0.025	-7.176690859635574	7
14	0	0.025	-7.870181988870536	9
14	1	0.025	-7.7951555369039705	9
14	2	0.025	-7.817025965450367	9
14	3	0.025	-6.069557157850453	9
14	4	0.025	-7.766424314452299	9
14	5	0.025	-7.7967441832957745	9
14	6	0.025	-7.857583023383657	9
14	7	0.025	-7.7228275462699125	9
14	8	0.025	-5.692719813255187	9
15	0	0.025	-7.818101588534266	8
15	1	0.025	-7.6881524230787885	8
15	2	0.025	-7.6724237724530155	8
15	3	0.025	-7.627369119508238	8
15	4	0.025	-7.767136009338535	8
15	5	0.025	-7.737962557035752	8
15	6	0.025	-7.720044328427532	8
15	7	0.025	-7.7010855324625895	8
15	9	0.025	-7.452084192979235	8
16	0	0.025	-7.767341991652869	4
16	1	0.025	-7.721373117675764	4
16	2	0.025	-7.664113593153607	4
16	3	0.025	-7.725764872860817	4
16	5	0.025	-7.856275541499115	4
16	6	0.025	-7.512418083147257	4
16	7	0.025	-7.658269709427744	4
16	8	0.025	-7.766351256063788	4
16	9	0.025	-7.048741948663971	4
17	0	0.025	-6.375228772021622	5
17	1	0.025	-7.93026887089876	5
17	2	0.025	-7.891249125565468	5
17	3	0.025	-7.130263098139448	5
17	4	0.025	-8.007276023918378	5
17	6	0.025	-7.879421502361837	5
17	7	0.025	-7.8937274949033025	5
17	8	0.025	-8.037217248249314	5
17	9	0.025	-7.936668191700433	5
18	0	0.025	-7.8192251509730895	3
18	1	0.025	-7.71360411944845	3
18	2	0.025	-7.643707246355299	3
18	4	0.025	-7.812137845037847	3
18	5	0.025	-5.008576448826155	3
18	6	0.025	-7.757427654188563	3
18	7	0.025	-7.712656964768996	3
18	8	0.025	-7.802243364821651	3
18	9	0.025	-7.749053220029851	3
19	0	0.025	-6.172510668727254	4
19	1	0.025	-5.73249220044714	4
19	2	0.025	-6.113198746260616	4
19	3	0.025	-2.5782633018226275	4
19	5	0.025	-6.109206721004476	4
19	6	0.025	-6.142282832583551	4
19	7	0.025	-6.039216679061839	4
19	8	0.025	-6.134462047733177	4
19	9	0.025	-0.37657858900748165	4
20	1	0.025	-7.666031797288155	0
20	2	0.025	-7.135198555487559	0
20	3	0.025	-7.5180288332272855	0
20	4	0.025	-7.740583260233049	0
20	5	0.025	-7.251572926929927	0
20	6	0.025	-7.635168310847306	0
20	7	0.025	-7.268850760939007	0
20	8	0.025	-1.1703950738429825	0
20	9	0.025	-6.797275655661873	0
21	0	0.025	-7.9193742914896115	6
21	1	0.025	-7.83693503954417	6
21	2	0.025	-3.992592187600525	6
21	3	0.025	-7.843807146571477	6
21	4	0.025	-6.66809149967569	6
21	5	0.025	-7.993583709179099	6
21	7	0.025	-7.806135338131353	6
21	8	0.025	-7.941239888182092	6
21	9	0.025	-7.777411116852962	6
22	0	0.025	-7.923098738021733	6
22	1	0.025	-6.245390344244123	6
22	2	0.025	-7.773546141726534	6
22	3	0.025	-7.856127178077882	6
22	4	0.025	-2.950574964215149	6
22	5	0.025	-7.295814456752622	6
22	7	0.025	-7.809321328272949	6
22	8	0.025	-6.808892973879026	6
22	9	0.025	-7.781131342011233	6
23	0	0.025	-7.758145629145332	3
23	1	0.025	-7.648674055376654	3
23	2	0.025	-6.351689531826724	3
23	4	0.025	-7.754944634706731	3
23	5	0.025	-2.442517306841751	3
23	6	0.025	-7.713117463706053	3
23	7	0.025	-7.645489944212638	3
23	8	0.025	-7.755242924663317	3
23	9	0.025	-7.696653400007582	3
24	1	0.025	-7.682731602743943	0
24	2	0.025	-5.729549114795616	0
24	3	0.025	-7.5656417808064536	0
24	4	0.025	-7.759750966129426	0
24	5	0.025	-7.751540179891249	0
24	6	0.025	-7.005479157430725	0
24	7	0.025	-7.614469763992681	0
24	8	0.025	-7.798588715569821	0
24	9	0.025	-7.418255050353581	0
25	0	0.025	-7.895740500706731	2
25	1	0.025	-7.446309390489733	2
25	3	0.025	-7.6835576934839915	2
25	4	0.025	-7.883630306777721	2
25	5	0.025	-7.948380463396066	2
25	6	0.025	-7.853388022136647	2
25	7	0.025	-7.822345728944253	2
25	8	0.025	-7.906553857019343	2
25	9	0.025	-7.80670933213248	2
26	0	0.025	-7.8811818181363416	3
26	1	0.025	-7.755190657685756	3
26	2	0.025	-7.6647355558347785	3
26	4	0.025	-7.868223371436852	3
26	5	0.025	-7.684802201174866	3
26	6	0.025	-7.852590581910405	3
26	7	0.025	-7.770786970047379	3
26	8	0.025	-7.8404652466935305	3
26	9	0.025	-7.80621612198593	3
27	0	0.025	-5.4290743152587595	6
27	1	0.025	-4.245136995124447	6
27	2	0.025	-4.632801425991366	6
27	3	0.025	-2.443060201953122	6
27	4	0.025	-2.34123559550982	6
27	5	0.025	1.6540357660276093	6
27	7	0.025	-5.278863598934685	6
27	8	0.025	-5.352095028600691	6
27	9	0.025	-5.303860568529	6
28	0	0.025	-7.95823532623057	6
28	1	0.025	-7.870131219964305	6
28	2	0.025	-7.786571427487302	6
28	3	0.025	-7.895548086725059	6
28	4	0.025	-7.903493183132195	6
28	5	0.025	-7.826870597749062	6
28	7	0.025	-7.842066802053944	6
28	8	0.025	-7.968845272698937	6
28	9	0.025	-7.81660699460146	6
29	0	0.025	-7.716655661319812	7
29	1	0.025	-7.645653772453094	7
29	2	0.025	-7.627526557235714	7
29	3	0.025	-7.416317596296185	7
29	4	0.025	-7.659363901650667	7
29	5	0.025	-7.5188492393942505	7
29	6	0.025	-7.667933020161021	7
29	8	0.025	-7.628370684544121	7
29	9	0.025	-7.43518616502034	7
30	0	0.025	-7.782579012494043	4
30	1	0.025	-7.730081478867647	4
30	2	0.025	-7.688992575550872	4
30	3	0.025	-7.691861747936578	4
30	5	0.025	-7.8505850060253834	4
30	6	0.025	-7.723203766988207	4
30	7	0.025	-6.747541561304201	4
30	8	0.025	-7.778862125961642	4
30	9	0.025	-6.966351710769302	4
32	0	0.025	-7.892982513897821	3
32	1	0.025	-7.771869658553884	3
32	2	0.025	-7.709316425321635	3
32	4	0.025	-7.861064157981362	3
32	5	0.025	-7.765104393575602	3
32	6	0.025	-7.87573539147223	3
32	7	0.025	-7.778408624555643	3
32	8	0.025	-7.854736154558265	3
32	9	0.025	-7.812765165082765	3
33	0	0.025	-7.813640904107499	8
33	1	0.025	-7.683599135823759	8
33	2	0.025	-6.6785297991523915	8
33	3	0.025	-6.552898815694591	8
33	4	0.025	-7.764363229799493	8
33	5	0.025	-7.740217593225797	8
33	6	0.025	-7.551912577732328	8
33	7	0.025	-7.712638787029575	8
33	9	0.025	-7.27798837228651	8
34	0	0.025	-0.06591267111037542	7
35	0	0.025	-8.048957778276598	5
35	1	0.025	-7.933156440494712	5
35	2	0.025	-7.8839455389239	5
35	3	0.025	-7.365772795680782	5
35	4	0.025	-8.005898200182877	5
35	6	0.025	-7.748051412944049	5
35	7	0.025	-7.908847977599331	5
35	8	0.025	-8.035538383130083	5
35	9	0.025	-7.949264396051349	5
36	0	0.025	-7.789940093748933	4
36	1	0.025	-7.743383602094573	4
36	2	0.025	-7.6951552779512085	4
36	3	0.025	-7.749866876357391	4
36	5	0.025	-7.8769669475411295	4
36	6	0.025	-7.726288619954661	4
36	7	0.025	-7.681147382619491	4
36	8	0.025	-7.771783158634514	4
36	9	0.025	-6.501673462695496	4
37	0	0.025	-7.860160532654971	2
37	1	0.025	-7.750779509740449	2
37	3	0.025	-1.9987150773311833	2
37	4	0.025	-7.839981320747167	2
37	5	0.025	-7.822490026348446	2
37	6	0.025	-7.8130416710938135	2
37	7	0.025	-7.769172985434058	2
37	8	0.025	-7.347109596649676	2
37	9	0.025	-7.7842141305868155	2
38	0	0.025	-8.03962542072261	5
38	1	0.025	-7.932909675436986	5
38	2	0.025	-7.882576937947553	5
38	3	0.025	-7.527852681464671	5
38	4	0.025	-8.01686471478388	5
38	6	0.025	-7.890811461116048	5
38	7	0.025	-7.896730236286172	5
38	8	0.025	-8.036413328372264	5
38	9	0.025	-7.9380992797733345	5
39	0	0.025	-7.958926311951431	5
39	1	0.025	-7.9091115656940945	5
39	2	0.025	-7.8483345470891495	5
39	3	0.025	-6.044773799488632	5
39	4	0.025	-7.977602678532586	5
39	6	0.025	-5.466677210679066	5
39	7	0.025	-7.872151147574488	5
39	8	0.025	-8.012638919152424	5
39	9	0.025	-6.20486722115676	5
40	0	0.025	-2.7825379491662714	8
40	1	0.025	-2.138913569638414	8
40	2	0.025	-2.6153957965554313	8
40	3	0.025	-0.29964198480778886	8
40	4	0.025	-2.7170863768785343	8
40	5	0.025	0.9730449647084606	8
40	6	0.025	-2.6479860673737288	8
40	7	0.025	-2.6657686305022636	8
40	9	0.025	-2.715521659354163	8
41	0	0.025	-8.054653778454478	5
41	1	0.025	-7.944495817320436	5
41	2	0.025	-7.90597496124948	5
41	3	0.025	-7.246411993020841	5
41	4	0.025	-8.019873416569597	5
41	6	0.025	-7.899817932339036	5
41	7	0.025	-7.9016534696927705	5
41	8	0.025	-8.056179390439773	5
41	9	0.025	-7.593504244655482	5
42	0	0.025	-7.879932276377748	2
42	1	0.025	-7.769082216032271	2
42	3	0.025	-7.13573285167315	2
42	4	0.025	-7.862215377149233	2
42	5	0.025	-7.864561003737753	2
42	6	0.025	-7.824839453578675	2
42	7	0.025	-7.792222011552584	2
42	8	0.025	-6.552538722954159	2
42	9	0.025	-7.7802316679519805	2
43	0	0.025	-6.917834972455552	9
43	1	0.025	-6.829787826842578	9
43	2	0.025	-6.811181022718654	9
43	3	0.025	-6.78014396404522	9
43	4	0.025	-1.4478960712666025	9
43	5	0.025	-6.890938781191677	9
43	6	0.025	-6.848605012731489	9
43	7	0.025	-6.78314937072089	9
43	8	0.025	-6.451965251464386	9
44	0	0.025	-7.586477036650096	2
44	1	0.025	-7.5110321146045	2
44	3	0.025	-7.495970621292057	2
44	4	0.025	-7.564321137739247	2
44	5	0.025	-7.685216259240176	2
44	6	0.025	-0.6266974518728502	2
44	7	0.025	-5.6714101682989915	2
44	8	0.025	-7.621387078757091	2
44	9	0.025	-7.4775525271200145	2
45	0	0.025	-7.784731932086153	4
45	1	0.025	-7.73484099284757	4
45	2	0.025	-7.699518496692026	4
45	3	0.025	-7.67997475834644	4
45	5	0.025	-6.748527965706029	4
45	6	0.025	-7.716768568907862	4
45	7	0.025	-7.655005207302467	4
45	8	0.025	-7.27141907126795	4
