Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	-7.659085562952327	2
1	1	0.025	-7.625221885271947	2
1	3	0.025	-7.714171163283356	2
1	4	0.025	-7.816372946958041	2
1	5	0.025	-7.687203065276095	2
1	6	0.025	-6.368050230029529	2
1	7	0.025	-7.679087203033566	2
1	8	0.025	-7.704886921128634	2
1	9	0.025	-7.6719426246498195	2
2	1	0.025	-7.612890637761211	0
2	2	0.025	-7.64956067514762	0
2	3	0.025	-7.696935085081862	0
2	4	0.025	-7.75694465077436	0
2	5	0.025	-7.610391252054102	0
2	6	0.025	-7.478570001934835	0
2	7	0.025	-7.653747789365652	0
2	8	0.025	-7.674926026288791	0
2	9	0.025	-7.64874657750216	0
3	0	0.025	-7.876449795719305	4
3	1	0.025	-7.893201741882771	4
3	2	0.025	-7.922771882955838	4
3	3	0.025	-7.962457306050403	4
3	5	0.025	-7.958917726466443	4
3	6	0.025	-7.806055070105941	4
3	7	0.025	-7.91794722078738	4
3	8	0.025	-7.963056817230133	4
3	9	0.025	-6.7160677152577755	4
4	0	0.025	-7.580364135079268	8
4	1	0.025	-7.490260857215182	8
4	2	0.025	-7.589178310812479	8
4	3	0.025	-5.6719624877669395	8
4	4	0.025	-7.690210734846139	8
4	5	0.025	-7.475315416781734	8
4	6	0.025	-7.340556490789595	8
4	7	0.025	-7.600917954101807	8
4	9	0.025	-7.605201341366313	8
5	0	0.025	-7.644193101215715	7
5	1	0.025	-7.62234778790681	7
5	2	0.025	-7.68314224725253	7
5	3	0.025	-7.71296945223817	7
5	4	0.025	-7.721994359400774	7
5	5	0.025	-7.74764302505035	7
5	6	0.025	-7.633759947146161	7
5	8	0.025	-7.74023708670158	7
5	9	0.025	-7.499254873560315	7
6	0	0.025	-7.752075282891002	6
6	1	0.025	-7.757520851950949	6
6	2	0.025	-7.787354230784574	6
6	3	0.025	-7.838799793105268	6
6	4	0.025	-7.879671954409876	6
6	5	0.025	-7.837529450448895	6
6	7	0.025	-7.814683168947895	6
6	8	0.025	-7.853809297765987	6
6	9	0.025	-7.736019377936427	6
7	1	0.025	-7.615397612571743	0
7	2	0.025	-7.652085641723748	0
7	3	0.025	-7.698112473043233	0
7	4	0.025	-7.75829095316027	0
7	5	0.025	-7.611197223537894	0
7	6	0.025	-7.4885328918810545	0
7	7	0.025	-7.653387260108844	0
7	8	0.025	-7.679051525768477	0
7	9	0.025	-7.649731977317571	0
8	0	0.025	-6.781197980377495	6
