Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	1.3731641378350181	2
1	1	0.025	-0.7323159625347343	2
1	3	0.025	6.516754663194268	2
1	4	0.025	0.4466010885854622	2
1	5	0.025	2.8602413146701697	2
1	6	0.025	4.216072220989906	2
1	7	0.025	3.9891229061440914	2
1	8	0.025	4.381872268238784	2
1	9	0.025	1.8711719452547522	2
2	1	0.025	-7.557600732577079	0
2	2	0.025	-7.274047596119138	0
2	3	0.025	-7.521672815407885	0
2	4	0.025	-6.275450002850658	0
2	5	0.025	-6.63707732913639	0
2	6	0.025	-7.493985175630386	0
2	7	0.025	-7.589155173219135	0
2	8	0.025	-7.400940324190362	0
2	9	0.025	-7.528652976721652	0
3	0	0.025	-7.473569727234226	4
3	1	0.025	-7.46506234078024	4
3	2	0.025	-7.292638685277027	4
3	3	0.025	-6.289733395854899	4
3	5	0.025	-7.2014074031371305	4
3	6	0.025	-6.44870704824938	4
3	7	0.025	-2.7759242626378153	4
3	8	0.025	-3.6671035282058346	4
3	9	0.025	-3.9289952552962877	4
4	0	0.025	4.249218760149805	8
4	1	0.025	5.923171885282883	8
4	2	0.025	5.929646266209941	8
4	3	0.025	7.200249714851876	8
4	4	0.025	0.7217856140436387	8
4	5	0.025	5.982388492353586	8
4	6	0.025	4.937910730938012	8
4	7	0.025	0.043651291609611155	8
4	9	0.025	4.5576314774850815	8
5	0	0.025	-7.561205634118043	7
5	1	0.025	-7.555823579619628	7
5	2	0.025	-7.00084511579299	7
5	3	0.025	-7.569250035958834	7
5	4	0.025	-7.45811722755805	7
5	5	0.025	-7.542201905919916	7
5	6	0.025	-7.581213290459588	7
5	8	0.025	-7.593387870912577	7
5	9	0.025	-7.4769753969532085	7
6	0	0.025	-6.181239630702417	6
6	1	0.025	-4.452993652510001	6
6	2	0.025	-2.560526971015826	6
6	3	0.025	-7.477490227779913	6
6	4	0.025	-1.2385787201615581	6
6	5	0.025	-3.629645515629153	6
6	7	0.025	-6.547184768434127	6
6	8	0.025	-6.414471327015494	6
6	9	0.025	-7.421456339804244	6
7	1	0.025	-7.561489195152929	0
7	2	0.025	-7.374794236743083	0
7	3	0.025	-7.529329513618132	0
7	4	0.025	-7.295507634364031	0
7	5	0.025	-5.5956285210092656	0
7	6	0.025	-7.509006850619357	0
7	7	0.025	-7.5940869068146855	0
7	8	0.025	-7.598667931889809	0
7	9	0.025	-7.5321005008220565	0
8	0	0.025	4.401171072294915	6
8	1	0.025	2.821968091766324	6
8	2	0.025	5.177210880667723	6
8	3	0.025	6.988956969997652	6
8	4	0.025	5.602388006878841	6
8	5	0.025	7.362115201949054	6
8	7	0.025	0.19506283806146463	6
8	8	0.025	7.367260770008534	6
8	9	0.025	2.4520519810199857	6
9	0	0.025	-1.1341364227376494	3
9	1	0.025	0.5657505382317939	3
9	2	0.025	-0.4289015128472272	3
9	4	0.025	-1.1001493764077674	3
9	5	0.025	5.902688699434516	3
9	6	0.025	-1.170898245004911	3
9	7	0.025	-1.2229947014953773	3
9	8	0.025	3.486347210960241	3
9	9	0.025	-1.1255071646192556	3
10	0	0.025	-5.853795624629706	1
10	2	0.025	-1.5142772422772874	1
10	3	0.025	-6.888219641217796	1
10	4	0.025	-6.083054945892745	1
10	5	0.025	-7.100438171869989	1
10	6	0.025	-4.063128885460574	1
10	7	0.025	-6.36839939871028	1
10	8	0.025	-5.211511064101716	1
10	9	0.025	-6.836247330419683	1
11	0	0.025	-7.471548890414237	8
11	1	0.025	-7.506909284978405	8
11	2	0.025	-7.111129967856419	8
11	3	0.025	-7.477705167852934	8
11	4	0.025	-7.423580151415999	8
11	5	0.025	-7.449336526437296	8
11	6	0.025	-6.94940484374311	8
11	7	0.025	-7.545697378503672	8
11	9	0.025	-7.450376522515454	8
12	1	0.025	-7.554659045529174	0
12	2	0.025	-3.787792906532908	0
12	3	0.025	-5.8911818235977105	0
12	4	0.025	-7.481976258410011	0
12	5	0.025	-7.508555158098474	0
12	6	0.025	-7.399682375507388	0
12	7	0.025	-7.584730814216432	0
12	8	0.025	-6.262201034621392	0
12	9	0.025	-7.511858283181719	0
13	0	0.025	-2.2752049828479475	7
13	1	0.025	-5.519066562448403	7
13	2	0.025	-0.9778967925187917	7
13	3	0.025	0.9319864308189171	7
13	4	0.025	-5.461992505490659	7
13	5	0.025	-4.689526184400239	7
13	6	0.025	-5.580406323878117	7
13	8	0.025	-5.592703756387763	7
13	9	0.025	-1.460820342671072	7
14	0	0.025	-7.237619406495586	9
14	1	0.025	-7.250019016418184	9
14	2	0.025	-7.072720756641633	9
14	3	0.025	-7.095988261971413	9
14	4	0.025	-7.118886357818668	9
14	5	0.025	-7.2194430261180536	9
14	6	0.025	-7.257682286263614	9
14	7	0.025	-7.244102499212356	9
14	8	0.025	-3.7769839118272412	9
15	0	0.025	-7.302874572915886	8
15	1	0.025	-7.534065388061614	8
15	2	0.025	-7.324056716669324	8
15	3	0.025	-7.521082256148249	8
15	4	0.025	-7.457845530210805	8
15	5	0.025	-7.484730641680861	8
15	6	0.025	-7.531920623257235	8
15	7	0.025	-7.570323859877962	8
15	9	0.025	-5.911824547340751	8
16	0	0.025	-2.0954316888507876	4
16	1	0.025	-7.465219681315596	4
16	2	0.025	-7.280095256519832	4
16	3	0.025	-7.420646802366038	4
16	5	0.025	-7.412513569945537	4
16	6	0.025	-3.0176417612693345	4
16	7	0.025	-7.495647591283231	4
16	8	0.025	-1.0603488200129219	4
16	9	0.025	-6.994500690062013	4
17	0	0.025	-1.5579668657654886	5
17	1	0.025	-7.430943292340964	5
17	2	0.025	-6.917611783090267	5
17	3	0.025	-6.254230502980734	5
17	4	0.025	-7.2057137374985345	5
17	6	0.025	-4.073155989735649	5
17	7	0.025	-7.465696308906046	5
17	8	0.025	-6.807448510715634	5
17	9	0.025	-6.4138785659081705	5
18	0	0.025	-5.973679827363872	3
