Img	Time(s)	Epsilon
1	13.003	0.05
2	10.729	0.05
3	11.384	0.05
4	11.346	0.05
5	10.387	0.05
6	10.972	0.05
7	11.85	0.05
8	11.005	0.05
9	11.755	0.05
10	11.59	0.05
11	11.813	0.05
12	11.873	0.05
13	10.69	0.05
14	11.158	0.05
15	10.973	0.05
16	11.041	0.05
17	12.958	0.05
18	11.362	0.05
19	12.049	0.05
20	10.995	0.05
21	11.512	0.05
22	13.092	0.05
23	11.129	0.05
24	11.298	0.05
25	11.334	0.05
26	10.519	0.05
27	11.439	0.05
28	12.501	0.05
29	11.388	0.05
30	10.99	0.05
31	1.265	0.05
32	10.692	0.05
33	10.94	0.05
34	1.228	0.05
35	12.002	0.05
36	10.607	0.05
37	3.684	0.05
38	11.614	0.05
39	11.254	0.05
40	11.056	0.05
41	11.731	0.05
42	10.976	0.05
43	12.208	0.05
44	11.123	0.05
45	11.84	0.05
46	11.747	0.05
47	10.613	0.05
48	11.08	0.05
49	10.642	0.05
50	11.878	0.05
51	12.309	0.05
52	11.288	0.05
53	10.978	0.05
54	6.371	0.05
55	10.578	0.05
56	10.977	0.05
57	12.547	0.05
58	11.115	0.05
59	11.021	0.05
60	11.911	0.05
61	10.649	0.05
62	12.337	0.05
63	10.859	0.05
64	10.93	0.05
65	11.441	0.05
66	10.203	0.05
67	11.224	0.05
68	12.399	0.05
69	10.953	0.05
70	11.005	0.05
71	11.691	0.05
72	12.429	0.05
73	12.22	0.05
74	10.883	0.05
75	11.167	0.05
76	10.91	0.05
77	11.412	0.05
78	12.103	0.05
79	10.801	0.05
80	11.084	0.05
81	11.464	0.05
82	10.718	0.05
83	12.028	0.05
84	11.563	0.05
85	11.467	0.05
86	11.357	0.05
87	11.199	0.05
88	10.418	0.05
89	12.72	0.05
90	10.45	0.05
91	10.697	0.05
92	11.647	0.05
93	11.541	0.05
94	12.855	0.05
95	11.004	0.05
96	10.912	0.05
97	11.731	0.05
98	11.122	0.05
99	1.221	0.05
100	11.999	0.05
101	11.246	0.05
102	10.252	0.05
103	11.186	0.05
104	4.7	0.05
105	12.001	0.05
106	12.29	0.05
107	10.936	0.05
108	2.518	0.05
109	11.545	0.05
110	11.296	0.05
111	10.515	0.05
112	12.934	0.05
113	11.496	0.05
114	11.893	0.05
115	11.258	0.05
116	10.603	0.05
117	12.389	0.05
118	10.313	0.05
119	10.764	0.05
120	10.548	0.05
121	11.083	0.05
122	10.757	0.05
123	11.958	0.05
124	11.952	0.05
125	10.283	0.05
126	7.627	0.05
127	11.526	0.05
128	11.393	0.05
129	11.48	0.05
130	9.59	0.05
131	11.386	0.05
132	10.547	0.05
133	11.434	0.05
134	12.587	0.05
135	10.823	0.05
136	11.146	0.05
137	11.694	0.05
138	10.716	0.05
139	13.116	0.05
140	10.906	0.05
141	11.319	0.05
142	11.175	0.05
143	10.473	0.05
144	12.347	0.05
145	10.965	0.05
146	11.058	0.05
147	11.138	0.05
148	10.971	0.05
149	10.286	0.05
150	12.686	0.05
1	11.534	0.1
2	10.879	0.1
3	11.67	0.1
4	11.583	0.1
5	12.481	0.1
6	11.839	0.1
7	11.122	0.1
8	12.039	0.1
9	11.719	0.1
10	12.804	0.1
11	7.906	0.1
12	11.112	0.1
13	11.567	0.1
14	11.126	0.1
15	12.872	0.1
16	12.183	0.1
17	12.588	0.1
18	12.12	0.1
19	10.219	0.1
20	11.079	0.1
21	11.864	0.1
22	11.633	0.1
23	11.506	0.1
24	11.775	0.1
25	13.334	0.1
26	12.33	0.1
27	11.442	0.1
28	11.399	0.1
29	12.344	0.1
30	12.12	0.1
31	1.291	0.1
32	11.95	0.1
33	11.516	0.1
34	2.724	0.1
35	11.752	0.1
36	10.362	0.1
37	6.226	0.1
38	13.381	0.1
39	7.907	0.1
40	11.03	0.1
41	12.748	0.1
42	3.988	0.1
43	6.653	0.1
44	12.698	0.1
45	12.028	0.1
46	10.928	0.1
47	11.592	0.1
48	11.426	0.1
49	12.405	0.1
50	11.721	0.1
51	11.304	0.1
52	11.414	0.1
53	11.924	0.1
54	6.744	0.1
55	12.38	0.1
56	11.191	0.1
57	11.671	0.1
58	11.597	0.1
59	11.536	0.1
60	13.068	0.1
61	11.862	0.1
62	11.352	0.1
63	12.052	0.1
64	11.547	0.1
65	12.485	0.1
66	11.585	0.1
67	11.515	0.1
68	12.609	0.1
69	11.454	0.1
70	11.949	0.1
71	12.425	0.1
72	11.227	0.1
73	11.301	0.1
74	11.668	0.1
75	12.808	0.1
76	11.261	0.1
77	11.907	0.1
78	11.538	0.1
79	11.771	0.1
80	13.001	0.1
81	11.398	0.1
82	11.6	0.1
83	11.844	0.1
84	11.654	0.1
85	12.454	0.1
86	11.87	0.1
87	11.404	0.1
88	11.315	0.1
89	12.029	0.1
90	12.544	0.1
91	11.415	0.1
92	11.65	0.1
93	12.271	0.1
94	11.884	0.1
95	13.11	0.1
96	11.829	0.1
97	11.875	0.1
98	11.659	0.1
99	1.435	0.1
100	11.528	0.1
101	12.669	0.1
102	11.439	0.1
103	11.084	0.1
104	1.22	0.1
105	12.853	0.1
106	11.449	0.1
107	12.538	0.1
108	2.703	0.1
109	12.046	0.1
110	11.286	0.1
111	11.832	0.1
112	12.093	0.1
113	13.248	0.1
114	12.118	0.1
115	11.414	0.1
116	11.792	0.1
117	11.95	0.1
118	11.962	0.1
119	11.271	0.1
120	11.176	0.1
121	11.811	0.1
122	11.302	0.1
123	12.64	0.1
124	11.478	0.1
125	11.292	0.1
126	1.287	0.1
127	11.491	0.1
128	11.538	0.1
129	12.775	0.1
130	3.774	0.1
131	12.196	0.1
132	11.274	0.1
133	11.679	0.1
134	11.327	0.1
135	12.988	0.1
136	5.315	0.1
137	11.963	0.1
138	11.367	0.1
139	11.78	0.1
140	12.52	0.1
141	11.602	0.1
142	11.683	0.1
143	11.284	0.1
144	11.223	0.1
145	4.355	0.1
146	12.311	0.1
147	12.052	0.1
148	3.903	0.1
149	11.131	0.1
150	11.528	0.1
1	11.746	0.15
2	12.43	0.15
3	11.335	0.15
4	12.313	0.15
5	11.682	0.15
6	11.806	0.15
7	12.461	0.15
8	12.176	0.15
9	11.292	0.15
10	12.577	0.15
11	7.9	0.15
12	12.29	0.15
13	11.966	0.15
14	11.305	0.15
15	11.437	0.15
16	12.015	0.15
17	12.992	0.15
18	12.433	0.15
19	12.63	0.15
20	11.937	0.15
21	12.683	0.15
22	12.903	0.15
23	12.464	0.15
24	11.57	0.15
25	11.734	0.15
26	11.467	0.15
27	13.701	0.15
28	12.102	0.15
29	12.112	0.15
30	10.13	0.15
31	1.545	0.15
32	11.806	0.15
33	13.397	0.15
34	1.439	0.15
35	11.699	0.15
36	12.117	0.15
37	7.494	0.15
38	12.135	0.15
39	2.801	0.15
40	13.148	0.15
41	12.301	0.15
42	3.712	0.15
43	6.323	0.15
44	12.155	0.15
45	13.059	0.15
46	12.337	0.15
47	5.499	0.15
48	11.89	0.15
49	11.926	0.15
50	12.408	0.15
51	12.418	0.15
52	11.73	0.15
53	12.078	0.15
54	2.563	0.15
55	11.602	0.15
56	11.731	0.15
57	13.209	0.15
58	11.581	0.15
59	11.637	0.15
60	11.47	0.15
61	11.882	0.15
62	13.2	0.15
63	12.865	0.15
64	12.606	0.15
65	11.726	0.15
66	12.192	0.15
67	12.581	0.15
68	12.124	0.15
69	11.612	0.15
70	11.661	0.15
71	11.997	0.15
72	13.185	0.15
73	11.421	0.15
74	11.703	0.15
75	11.739	0.15
76	12.04	0.15
77	12.586	0.15
78	11.646	0.15
79	11.971	0.15
80	6.642	0.15
81	11.486	0.15
82	12.471	0.15
83	12.104	0.15
84	11.518	0.15
85	11.734	0.15
86	11.91	0.15
87	12.529	0.15
88	11.712	0.15
89	12.316	0.15
90	11.116	0.15
91	11.919	0.15
92	13.088	0.15
93	12.466	0.15
94	11.961	0.15
95	11.708	0.15
96	12.155	0.15
97	2.652	0.15
98	13.244	0.15
99	1.201	0.15
100	11.911	0.15
101	12.061	0.15
