Img	Time(s)	Epsilon
1	17.562	0.025
2	10.714	0.025
3	10.38	0.025
4	13.117	0.025
5	10.422	0.025
6	10.56	0.025
7	10.761	0.025
8	11.597	0.025
9	11.181	0.025
10	10.512	0.025
11	11.889	0.025
12	10.729	0.025
13	11.482	0.025
14	11.057	0.025
15	11.68	0.025
16	10.899	0.025
17	10.707	0.025
18	11.415	0.025
19	11.898	0.025
20	11.868	0.025
21	12.091	0.025
22	11.659	0.025
23	11.476	0.025
24	10.932	0.025
25	11.573	0.025
26	10.183	0.025
27	12.907	0.025
28	10.963	0.025
29	11.075	0.025
30	11.199	0.025
31	1.537	0.025
32	10.613	0.025
33	11.826	0.025
34	1.405	0.025
35	10.866	0.025
36	10.726	0.025
37	11.753	0.025
38	10.642	0.025
39	12.215	0.025
40	11.51	0.025
41	10.49	0.025
42	11.334	0.025
43	11.823	0.025
44	11.168	0.025
45	11.313	0.025
46	10.365	0.025
47	12.127	0.025
48	10.422	0.025
49	12.149	0.025
50	10.647	0.025
51	11.231	0.025
52	11.277	0.025
53	11.451	0.025
54	11.032	0.025
55	12.006	0.025
56	10.676	0.025
57	11.637	0.025
58	11.312	0.025
59	11.517	0.025
60	10.706	0.025
61	11.426	0.025
62	12.774	0.025
63	11.229	0.025
64	11.952	0.025
65	11.573	0.025
66	10.461	0.025
67	11.305	0.025
68	11.683	0.025
69	10.724	0.025
70	10.303	0.025
71	11.588	0.025
72	11.501	0.025
73	10.71	0.025
74	10.692	0.025
75	10.606	0.025
76	11.031	0.025
77	11.377	0.025
78	10.426	0.025
79	11.156	0.025
80	11.765	0.025
81	11.801	0.025
82	11.283	0.025
83	11.617	0.025
84	10.778	0.025
85	11.705	0.025
86	14.059	0.025
87	11.602	0.025
88	11.238	0.025
89	11.115	0.025
90	10.491	0.025
91	11.098	0.025
92	11.854	0.025
93	11.28	0.025
94	10.44	0.025
95	11.186	0.025
96	11.512	0.025
97	11.481	0.025
98	13.257	0.025
99	1.487	0.025
100	10.031	0.025
101	12.522	0.025
102	10.907	0.025
103	11.326	0.025
104	12.161	0.025
105	12.009	0.025
106	11.974	0.025
107	11.386	0.025
108	1.483	0.025
109	11.635	0.025
110	12.186	0.025
111	11.369	0.025
112	10.758	0.025
113	11.533	0.025
114	11.112	0.025
115	10.957	0.025
116	10.82	0.025
117	10.935	0.025
118	10.667	0.025
119	10.392	0.025
120	10.334	0.025
121	10.508	0.025
122	10.99	0.025
123	13.117	0.025
124	11.815	0.025
125	10.571	0.025
126	11.457	0.025
127	7.882	0.025
128	10.398	0.025
129	10.345	0.025
130	11.523	0.025
131	10.486	0.025
132	11.423	0.025
133	11.14	0.025
134	11.678	0.025
135	10.427	0.025
136	20.367	0.025
137	11.174	0.025
138	11.183	0.025
139	10.666	0.025
140	10.741	0.025
141	11.534	0.025
142	11.479	0.025
143	11.496	0.025
144	11.089	0.025
145	11.625	0.025
146	11.594	0.025
147	11.542	0.025
148	1.359	0.025
149	10.209	0.025
150	11.262	0.025
1	16.501	0.05
2	12.186	0.05
3	26.305	0.05
4	16.785	0.05
5	11.819	0.05
6	11.441	0.05
7	12.541	0.05
8	14.306	0.05
9	12.462	0.05
10	278.46	0.05
11	3.114	0.05
12	11.856	0.05
13	14.836	0.05
14	12.83	0.05
15	71.877	0.05
16	12.371	0.05
17	12.207	0.05
18	16.525	0.05
19	13.793	0.05
20	13.933	0.05
21	19.503	0.05
22	27.613	0.05
23	13.764	0.05
24	13.131	0.05
25	15.546	0.05
26	11.987	0.05
27	15.105	0.05
28	48.144	0.05
29	15.847	0.05
30	29.053	0.05
31	1.604	0.05
32	16.471	0.05
33	12.083	0.05
34	1.632	0.05
35	13.342	0.05
36	12.588	0.05
37	12.818	0.05
38	12.591	0.05
39	15.365	0.05
40	13.057	0.05
41	14.32	0.05
42	13.527	0.05
43	22.52	0.05
44	12.232	0.05
45	11.772	0.05
46	12.097	0.05
47	15.076	0.05
48	22.613	0.05
49	19.622	0.05
50	14.116	0.05
51	12.968	0.05
52	159.104	0.05
53	14.315	0.05
54	15.484	0.05
55	13.699	0.05
56	41.679	0.05
57	13.325	0.05
58	28.623	0.05
59	13.258	0.05
60	26.355	0.05
61	29.0	0.05
62	15.263	0.05
63	15.953	0.05
64	31.059	0.05
65	14.615	0.05
66	23.443	0.05
67	13.26	0.05
68	13.554	0.05
69	12.556	0.05
