obj,UpperBound,time,image,method, bleh
7.72130180527505,7.77763203270192,24.149,75,big-m,
7.721741411419987,7.776446373908134,38.732,75,big-m,
7.721741411419987,7.776446373908134,39.476,75,big-m,
7.721741411419987,7.776446373908134,44.626,75,big-m,
7.721741411419987,7.776446373908134,46.929,75,big-m,
7.721741411419987,7.776446373908134,47.678,75,big-m,
7.721741411419987,7.776446373908134,47.681,75,big-m,
7.721741411419987,7.776446373908134,51.022,75,big-m,
7.721741411419987,7.776446373908134,51.025,75,big-m,
7.721741411419987,7.776446373908134,52.244,75,big-m,
7.721741411419987,7.776446373908134,53.477,75,big-m,
7.721741411419987,7.776446373908134,54.721,75,big-m,
7.721741411419987,7.776446373908134,54.723,75,big-m,
7.721741411419987,7.776446373908134,56.143,75,big-m,
7.721741411419987,7.776446373908134,56.145,75,big-m,
7.721741411419987,7.776446373908134,60.323,75,big-m,
7.721741411419987,7.776446373908134,60.327,75,big-m,
7.721741411419987,7.776446373908134,60.329,75,big-m,
7.721741411419987,7.776446373908134,64.042,75,big-m,
7.721741411419987,7.776446373908134,64.044,75,big-m,
7.721741411419987,7.776446373908134,65.892,75,big-m,
7.721741411419987,7.776446373908134,69.211,75,big-m,
7.721741411419987,7.776446373908134,70.857,75,big-m,
7.721741411419987,7.776446373908134,70.86,75,big-m,
7.721741411419987,7.776446373908134,72.508,75,big-m,
7.721741411419987,7.776446373908134,72.511,75,big-m,
7.721741411419987,7.776446373908134,72.513,75,big-m,
7.721741411419987,7.776446373908134,74.755,75,big-m,
7.721741411419987,7.776446373908134,74.756,75,big-m,
7.721741411419987,7.776446373908134,74.758,75,big-m,
7.721741411419987,7.776446373908134,82.873,75,big-m,
7.721741411419987,7.776446373908134,85.139,75,big-m,
7.721741411419987,7.776446373908134,85.141,75,big-m,
7.721741411419987,7.776446373908134,85.143,75,big-m,
7.721741411419987,7.776446373908134,87.035,75,big-m,
7.722013167516468,7.776446373908134,87.04,75,big-m,
7.722141484655734,7.776446373908134,107.195,75,big-m,
7.722141484655734,7.776446373908134,111.464,75,big-m,
7.722141484655734,7.776446373908134,113.85,75,big-m,
7.722141484655734,7.776446373908134,113.853,75,big-m,
7.722141484655734,7.776446373908134,113.854,75,big-m,
7.723142467753014,7.776446373908134,115.875,75,big-m,
7.723142467753014,7.776446373908134,118.261,75,big-m,
7.723142467753014,7.776446373908134,120.398,75,big-m,
7.723142467753014,7.776446373908134,120.403,75,big-m,
7.723142467753014,7.776446373908134,120.405,75,big-m,
7.723142467753014,7.776446373908134,124.087,75,big-m,
7.723142467753014,7.776446373908134,124.09,75,big-m,
7.723142467753014,7.776446373908134,126.002,75,big-m,
7.723142467753014,7.776446373908134,126.01,75,big-m,
7.723142467753014,7.776446373908134,126.016,75,big-m,
7.723142467753014,7.776446373908134,126.021,75,big-m,
7.732207270390431,7.771085764845676,583.537,75,big-m,
7.732207270390431,7.771085764845676,589.763,75,big-m,
3.819582350185011,3.9289128030760954,13.362,75,cayley,
3.8240752796570936,3.924593155898624,78.864,75,cayley,
3.8240752796570936,3.924322592561487,81.458,75,cayley,
3.826574050246931,3.924322592561487,111.264,75,cayley,
3.82927531586793,3.924322592561487,134.94,75,cayley,
3.82927531586793,3.924322592561487,141.461,75,cayley,
3.82927531586793,3.924322592561487,167.197,75,cayley,
3.82927531586793,3.924322592561487,173.901,75,cayley,
3.82927531586793,3.924322592561487,176.473,75,cayley,
3.82927531586793,3.924322592561487,178.893,75,cayley,
3.82927531586793,3.924322592561487,184.007,75,cayley,
3.82927531586793,3.924322592561487,186.184,75,cayley,
3.82927531586793,3.924322592561487,188.935,75,cayley,
3.82927531586793,3.924322592561487,189.146,75,cayley,
3.82927531586793,3.924322592561487,192.825,75,cayley,
3.82927531586793,3.924322592561487,197.34,75,cayley,
3.82927531586793,3.924322592561487,236.775,75,cayley,
3.82927531586793,3.924322592561487,240.942,75,cayley,
3.82927531586793,3.924322592561487,241.314,75,cayley,
3.82927531586793,3.924322592561487,247.08,75,cayley,
3.830333366288327,3.924322592561487,251.068,75,cayley,
3.830333366288327,3.924322592561487,256.544,75,cayley,
3.830333366288327,3.924322592561487,256.92,75,cayley,
3.830333366288327,3.924322592561487,263.26,75,cayley,
3.830590822691863,3.924322592561487,275.075,75,cayley,
3.830590822691863,3.924322592561487,282.383,75,cayley,
3.830590822691863,3.924322592561487,282.606,75,cayley,
3.830590822691863,3.924322592561487,287.826,75,cayley,
3.830590822691863,3.924322592561487,288.077,75,cayley,
3.830590822691863,3.924322592561487,298.337,75,cayley,
3.830590822691863,3.924322592561487,298.83,75,cayley,
3.830590822691863,3.924322592561487,305.333,75,cayley,
3.830590822691863,3.924322592561487,305.86,75,cayley,
3.830590822691863,3.924322592561487,306.292,75,cayley,
3.830590822691863,3.924322592561487,315.963,75,cayley,
3.830590822691863,3.924322592561487,316.306,75,cayley,
3.830590822691863,3.924322592561487,321.624,75,cayley,
3.830590822691863,3.924322592561487,321.949,75,cayley,
3.830590822691863,3.924322592561487,322.149,75,cayley,
3.830590822691863,3.924322592561487,332.062,75,cayley,
3.830590822691863,3.924322592561487,332.319,75,cayley,
3.830590822691863,3.924322592561487,332.588,75,cayley,
3.830590822691863,3.924322592561487,347.688,75,cayley,
3.830590822691863,3.924322592561487,354.074,75,cayley,
3.830590822691863,3.924322592561487,355.691,75,cayley,
