Img	Time(s)	Epsilon
1	10.39	0.025
2	10.301	0.025
3	9.756	0.025
4	10.416	0.025
5	9.635	0.025
6	9.747	0.025
7	10.083	0.025
8	10.667	0.025
9	10.671	0.025
10	9.601	0.025
11	10.793	0.025
12	9.815	0.025
13	10.317	0.025
14	10.542	0.025
15	10.319	0.025
16	10.368	0.025
17	9.774	0.025
18	10.243	0.025
19	10.451	0.025
20	10.714	0.025
21	10.344	0.025
22	10.292	0.025
23	10.554	0.025
24	10.352	0.025
25	10.299	0.025
26	10.002	0.025
27	10.491	0.025
28	9.63	0.025
29	10.034	0.025
30	10.007	0.025
31	1.217	0.025
32	9.66	0.025
33	10.372	0.025
34	1.272	0.025
35	9.687	0.025
36	9.621	0.025
37	10.308	0.025
38	9.774	0.025
39	10.406	0.025
40	10.45	0.025
41	9.675	0.025
42	10.204	0.025
43	10.359	0.025
44	10.409	0.025
45	10.527	0.025
46	10.516	0.025
47	10.848	0.025
48	9.8	0.025
49	10.351	0.025
50	9.705	0.025
51	10.398	0.025
52	10.737	0.025
53	10.238	0.025
54	10.316	0.025
55	10.207	0.025
56	9.514	0.025
57	10.793	0.025
58	10.019	0.025
59	10.425	0.025
60	9.929	0.025
61	10.167	0.025
62	10.222	0.025
63	10.656	0.025
64	10.192	0.025
65	10.328	0.025
66	9.654	0.025
67	10.515	0.025
68	10.239	0.025
69	10.583	0.025
70	9.79	0.025
71	10.756	0.025
72	10.307	0.025
73	9.676	0.025
74	9.84	0.025
75	10.768	0.025
76	9.821	0.025
77	10.237	0.025
78	9.801	0.025
79	10.586	0.025
80	10.507	0.025
81	10.635	0.025
82	9.69	0.025
83	10.032	0.025
84	9.896	0.025
85	10.57	0.025
86	10.478	0.025
87	10.369	0.025
88	9.749	0.025
89	10.228	0.025
90	9.682	0.025
91	10.049	0.025
92	10.599	0.025
93	9.661	0.025
94	9.804	0.025
95	10.328	0.025
96	10.703	0.025
97	10.286	0.025
98	10.681	0.025
99	1.223	0.025
100	9.592	0.025
101	10.6	0.025
102	10.361	0.025
103	10.269	0.025
104	10.657	0.025
105	10.914	0.025
106	10.477	0.025
107	10.549	0.025
108	1.11	0.025
109	10.35	0.025
110	10.45	0.025
111	10.415	0.025
112	10.014	0.025
113	10.294	0.025
114	9.658	0.025
115	10.16	0.025
116	9.507	0.025
117	10.379	0.025
118	10.377	0.025
119	9.727	0.025
120	9.761	0.025
121	9.938	0.025
122	9.879	0.025
123	10.899	0.025
124	10.393	0.025
125	9.633	0.025
126	10.331	0.025
127	6.827	0.025
128	9.967	0.025
129	9.799	0.025
130	10.755	0.025
131	9.83	0.025
132	10.549	0.025
133	10.531	0.025
134	10.257	0.025
135	10.452	0.025
136	11.01	0.025
137	9.755	0.025
138	10.517	0.025
139	9.845	0.025
140	9.732	0.025
141	10.25	0.025
142	9.84	0.025
143	10.088	0.025
144	9.882	0.025
145	9.902	0.025
146	10.571	0.025
147	9.921	0.025
148	1.122	0.025
149	10.083	0.025
150	10.13	0.025
1	11.724	0.075
2	10.771	0.075
3	10.609	0.075
4	12.104	0.075
5	10.759	0.075
6	11.043	0.075
7	10.534	0.075
8	7.57	0.075
9	2.238	0.075
10	11.77	0.075
11	2.656	0.075
12	11.159	0.075
13	11.706	0.075
14	11.351	0.075
15	11.605	0.075
16	11.194	0.075
17	11.664	0.075
18	11.44	0.075
19	11.756	0.075
20	10.735	0.075
21	11.614	0.075
22	12.281	0.075
23	11.615	0.075
24	11.378	0.075
25	11.502	0.075
26	10.414	0.075
27	12.375	0.075
28	11.414	0.075
29	12.123	0.075
30	11.555	0.075
31	1.394	0.075
32	10.889	0.075
33	11.365	0.075
34	1.523	0.075
35	10.811	0.075
36	11.012	0.075
37	12.085	0.075
38	11.467	0.075
39	12.549	0.075
40	11.587	0.075
41	10.645	0.075
42	11.519	0.075
43	1.257	0.075
44	11.555	0.075
45	12.217	0.075
46	11.048	0.075
47	5.342	0.075
48	10.83	0.075
49	11.729	0.075
50	11.269	0.075
51	11.372	0.075
52	11.827	0.075
53	11.589	0.075
54	11.893	0.075
55	11.354	0.075
56	10.876	0.075
57	11.268	0.075
58	11.535	0.075
59	11.253	0.075
60	11.631	0.075
61	11.894	0.075
62	11.475	0.075
63	11.817	0.075
64	11.415	0.075
65	11.634	0.075
66	11.321	0.075
67	11.419	0.075
68	11.781	0.075
69	10.497	0.075
70	11.298	0.075
71	12.041	0.075
72	12.73	0.075
73	11.277	0.075
74	11.379	0.075
75	11.671	0.075
76	11.155	0.075
77	12.116	0.075
78	11.855	0.075
79	11.556	0.075
80	11.57	0.075
81	12.256	0.075
82	11.272	0.075
83	11.417	0.075
84	10.963	0.075
85	9.522	0.075
86	12.358	0.075
87	11.96	0.075
88	11.461	0.075
89	10.718	0.075
90	10.878	0.075
91	11.382	0.075
92	11.971	0.075
93	12.299	0.075
94	11.906	0.075
95	11.24	0.075
96	11.553	0.075
97	11.616	0.075
98	13.217	0.075
99	1.416	0.075
100	11.118	0.075
101	11.873	0.075
102	11.137	0.075
103	11.559	0.075
104	5.542	0.075
105	11.645	0.075
106	11.581	0.075
107	11.614	0.075
108	1.288	0.075
109	12.228	0.075
110	11.908	0.075
111	11.567	0.075
112	10.922	0.075
113	12.328	0.075
114	12.043	0.075
115	11.435	0.075
116	11.326	0.075
117	11.258	0.075
118	10.778	0.075
119	11.935	0.075
120	11.246	0.075
121	11.588	0.075
122	11.161	0.075
123	11.931	0.075
124	11.754	0.075
125	11.06	0.075
126	6.815	0.075
127	1.386	0.075
128	11.787	0.075
129	10.7	0.075
130	11.504	0.075
131	10.77	0.075
132	11.627	0.075
133	11.462	0.075
134	11.357	0.075
135	11.104	0.075
136	12.007	0.075
137	11.409	0.075
138	11.987	0.075
139	11.056	0.075
140	10.696	0.075
141	11.617	0.075
142	11.24	0.075
143	10.807	0.075
144	11.339	0.075
145	11.167	0.075
146	11.155	0.075
147	11.485	0.075
148	1.498	0.075
149	10.388	0.075
150	11.673	0.075
