obj,lowerBound,time,img,method,nn_id
-7.488527962011023,-0.7036969495519625,3.934,12,big-m,0
-7.480814372072471,-0.7036969495519625,10.08,12,big-m,0
-7.480814372072471,-0.7036969495519625,10.914,12,big-m,0
-7.476672183613875,-0.7036969495519625,36.663,12,big-m,0
-7.476672183613875,-0.7036969495519625,43.931,12,big-m,0
-7.476672183613875,-0.7036969495519625,47.623,12,big-m,0
-7.470403163299275,-0.7036969495519625,54.576,12,big-m,0
-7.470403163299275,-0.7043998303631445,61.264,12,big-m,0
-7.470090717846838,-0.7965918710988042,64.732,12,big-m,0
-7.470090717846838,-0.9173468655659568,65.651,12,big-m,0
-7.470090717846838,-0.9901260387211228,70.49,12,big-m,0
-7.470090717846838,-1.1787636060983986,75.322,12,big-m,0
-7.470090717846838,-1.276512919561395,76.848,12,big-m,0
-7.470090717846838,-1.5626200132746737,81.743,12,big-m,0
-7.470090717846838,-1.5626200132746737,83.578,12,big-m,0
-7.470090717846838,-1.7964653274839566,87.096,12,big-m,0
-7.470090717846838,-2.0406259960180986,92.111,12,big-m,0
-7.470090717846838,-2.2264353121300515,93.852,12,big-m,0
-7.470090717846838,-2.2750184343665425,98.252,12,big-m,0
-7.470090717846838,-2.380945918635101,100.216,12,big-m,0
-7.470090717846838,-2.624332089755701,113.483,12,big-m,0
-7.470090717846838,-2.6820196316576355,115.346,12,big-m,0
-7.470090717846838,-2.761674033184898,119.96,12,big-m,0
-7.470090717846838,-2.9412128936764224,125.352,12,big-m,0
-7.470090717846838,-2.983986619391912,129.591,12,big-m,0
-7.470090717846838,-3.0401498013807906,131.885,12,big-m,0
-7.470090717846838,-3.202883473890224,143.859,12,big-m,0
-7.470090717846838,-3.270700856372881,147.652,12,big-m,0
-7.470090717846838,-3.327293780326243,147.714,12,big-m,0
-7.470090717846838,-3.3597264467488115,151.012,12,big-m,0
-7.470090717846838,-3.4155482386462905,156.155,12,big-m,0
-7.470090717846838,-3.496626335278083,165.14,12,big-m,0
-7.470090717846838,-3.658260503925737,182.54,12,big-m,0
-7.470090717846838,-3.8126925231879913,197.621,12,big-m,0
-7.470090717846838,-3.823045874583019,197.645,12,big-m,0
