Img	Time(s)	Epsilon
1	16.822	0.008
2	17.495	0.008
3	18.407	0.008
4	18.034	0.008
5	17.891	0.008
6	17.562	0.008
7	17.199	0.008
8	17.358	0.008
9	16.957	0.008
10	16.831	0.008
11	14.05	0.008
12	16.732	0.008
13	16.912	0.008
14	16.789	0.008
15	16.745	0.008
16	16.798	0.008
17	16.924	0.008
18	16.998	0.008
19	16.834	0.008
20	17.41	0.008
21	16.959	0.008
22	17.012	0.008
23	16.978	0.008
24	16.778	0.008
25	16.838	0.008
26	16.82	0.008
27	17.014	0.008
28	16.724	0.008
29	17.149	0.008
30	16.728	0.008
31	1.96	0.008
32	16.679	0.008
33	16.793	0.008
34	3.869	0.008
35	16.657	0.008
36	16.934	0.008
37	17.236	0.008
38	16.956	0.008
39	17.934	0.008
40	16.958	0.008
41	16.77	0.008
42	16.771	0.008
43	17.527	0.008
44	17.295	0.008
45	16.747	0.008
46	16.754	0.008
47	16.954	0.008
48	16.722	0.008
49	16.748	0.008
50	16.87	0.008
51	16.652	0.008
52	16.866	0.008
53	16.808	0.008
54	16.895	0.008
55	16.865	0.008
56	16.691	0.008
57	17.654	0.008
58	17.033	0.008
59	16.681	0.008
60	16.619	0.008
61	16.928	0.008
62	17.974	0.008
63	22.153	0.008
64	17.518	0.008
65	17.188	0.008
66	16.738	0.008
67	16.919	0.008
68	16.867	0.008
69	16.9	0.008
70	16.912	0.008
71	16.914	0.008
72	16.831	0.008
73	16.702	0.008
74	16.799	0.008
75	16.959	0.008
76	16.809	0.008
77	16.894	0.008
78	16.77	0.008
79	17.298	0.008
80	16.857	0.008
81	16.916	0.008
82	16.885	0.008
83	16.918	0.008
84	16.88	0.008
85	17.252	0.008
86	17.596	0.008
87	16.863	0.008
88	16.773	0.008
89	17.371	0.008
90	16.796	0.008
91	16.82	0.008
92	16.905	0.008
93	16.813	0.008
94	16.927	0.008
95	16.909	0.008
96	16.758	0.008
97	16.945	0.008
98	17.379	0.008
99	3.981	0.008
100	16.756	0.008
101	16.899	0.008
102	16.715	0.008
103	16.902	0.008
104	17.278	0.008
105	17.221	0.008
106	17.848	0.008
107	16.804	0.008
108	2.003	0.008
109	16.883	0.008
110	16.933	0.008
111	16.773	0.008
112	16.757	0.008
113	16.928	0.008
114	16.948	0.008
115	16.709	0.008
116	16.756	0.008
117	16.718	0.008
118	16.868	0.008
119	16.696	0.008
120	16.552	0.008
121	16.672	0.008
122	16.624	0.008
123	16.781	0.008
124	16.926	0.008
125	16.687	0.008
126	11.596	0.008
127	16.771	0.008
128	16.781	0.008
129	16.841	0.008
130	16.946	0.008
131	16.928	0.008
132	16.722	0.008
133	16.802	0.008
134	16.969	0.008
135	16.872	0.008
136	17.525	0.008
137	17.037	0.008
138	17.378	0.008
139	16.906	0.008
140	16.837	0.008
141	22.143	0.008
142	22.94	0.008
143	17.901	0.008
144	17.279	0.008
145	16.675	0.008
146	16.511	0.008
147	16.828	0.008
148	5.695	0.008
149	16.608	0.008
150	17.158	0.008
1	17.302	0.016
2	16.587	0.016
3	16.872	0.016
4	18.151	0.016
5	17.685	0.016
6	17.304	0.016
7	16.768	0.016
8	17.106	0.016
9	9.927	0.016
10	17.213	0.016
11	2.061	0.016
12	16.949	0.016
13	17.472	0.016
14	16.821	0.016
15	17.05	0.016
16	16.727	0.016
17	16.997	0.016
18	17.586	0.016
19	17.002	0.016
20	9.701	0.016
21	17.245	0.016
22	17.48	0.016
23	9.678	0.016
24	16.58	0.016
25	16.9	0.016
26	16.651	0.016
27	17.346	0.016
28	16.844	0.016
29	17.594	0.016
30	16.695	0.016
31	2.089	0.016
32	16.892	0.016
33	16.804	0.016
34	3.977	0.016
35	16.717	0.016
36	16.842	0.016
37	5.851	0.016
38	16.836	0.016
39	1.917	0.016
40	16.835	0.016
41	16.763	0.016
42	17.072	0.016
43	10.121	0.016
44	11.836	0.016
45	17.019	0.016
46	16.856	0.016
47	17.433	0.016
48	16.91	0.016
49	16.784	0.016
50	17.563	0.016
51	16.671	0.016
52	17.516	0.016
53	17.075	0.016
54	17.756	0.016
55	17.5	0.016
56	16.725	0.016
57	17.003	0.016
58	16.958	0.016
59	17.124	0.016
60	16.784	0.016
61	17.595	0.016
62	17.999	0.016
63	17.213	0.016
64	17.604	0.016
65	17.458	0.016
66	16.78	0.016
67	17.579	0.016
68	17.429	0.016
69	17.52	0.016
70	17.391	0.016
71	17.762	0.016
72	17.117	0.016
73	16.911	0.016
74	16.736	0.016
75	17.476	0.016
76	17.623	0.016
77	17.392	0.016
78	16.813	0.016
79	17.917	0.016
80	17.968	0.016
81	17.368	0.016
82	17.055	0.016
83	16.901	0.016
84	16.908	0.016
85	13.869	0.016
86	2.048	0.016
87	17.515	0.016
88	16.905	0.016
89	17.749	0.016
90	16.932	0.016
91	16.867	0.016
92	16.834	0.016
93	17.024	0.016
94	17.587	0.016
95	17.021	0.016
96	16.701	0.016
97	17.653	0.016
98	17.879	0.016
99	3.964	0.016
100	17.046	0.016
101	17.419	0.016
102	16.752	0.016
103	17.43	0.016
104	15.574	0.016
105	5.928	0.016
106	2.048	0.016
107	16.894	0.016
108	2.097	0.016
