Img	Time(s)	Epsilon
1	9.945	0.008
2	10.023	0.008
3	9.844	0.008
4	9.875	0.008
5	9.934	0.008
6	9.996	0.008
7	9.844	0.008
8	10.012	0.008
9	10.016	0.008
10	9.904	0.008
11	10.068	0.008
12	9.927	0.008
13	9.999	0.008
14	9.853	0.008
15	10.019	0.008
16	9.989	0.008
17	9.878	0.008
18	10.016	0.008
19	9.929	0.008
20	10.086	0.008
21	9.892	0.008
22	9.917	0.008
23	10.063	0.008
24	10.023	0.008
25	9.912	0.008
26	10.05	0.008
27	9.925	0.008
28	9.962	0.008
29	10.024	0.008
30	10.016	0.008
31	1.047	0.008
32	9.989	0.008
33	9.921	0.008
34	2.22	0.008
35	9.857	0.008
36	10.002	0.008
37	9.937	0.008
38	10.049	0.008
39	9.883	0.008
40	10.086	0.008
41	10.049	0.008
42	9.952	0.008
43	10.051	0.008
44	9.87	0.008
45	9.927	0.008
46	9.949	0.008
47	10.112	0.008
48	9.898	0.008
49	9.987	0.008
50	9.912	0.008
51	10.012	0.008
52	10.055	0.008
53	9.894	0.008
54	10.05	0.008
55	10.049	0.008
56	9.911	0.008
57	10.006	0.008
58	9.916	0.008
59	9.999	0.008
60	9.892	0.008
61	10.083	0.008
62	10.012	0.008
63	10.222	0.008
64	9.973	0.008
65	10.152	0.008
66	9.871	0.008
67	9.983	0.008
68	10.068	0.008
69	9.937	0.008
70	10.05	0.008
71	10.158	0.008
72	9.896	0.008
73	10.061	0.008
74	9.917	0.008
75	10.022	0.008
76	9.878	0.008
77	10.017	0.008
78	9.841	0.008
79	10.032	0.008
80	9.889	0.008
81	10.036	0.008
82	9.976	0.008
83	9.843	0.008
84	9.989	0.008
85	9.955	0.008
86	9.878	0.008
87	9.818	0.008
88	9.965	0.008
89	10.062	0.008
90	9.768	0.008
91	9.941	0.008
92	9.794	0.008
93	9.995	0.008
94	9.819	0.008
95	9.914	0.008
96	9.796	0.008
97	9.972	0.008
98	9.951	0.008
99	2.189	0.008
100	9.847	0.008
101	9.944	0.008
102	9.828	0.008
103	9.976	0.008
104	9.904	0.008
105	10.065	0.008
106	9.805	0.008
107	10.083	0.008
108	4.427	0.008
109	9.997	0.008
110	9.887	0.008
111	10.03	0.008
112	9.96	0.008
113	10.03	0.008
114	9.885	0.008
115	9.912	0.008
116	10.094	0.008
117	9.871	0.008
118	10.136	0.008
119	10.416	0.008
120	10.449	0.008
121	10.244	0.008
122	11.848	0.008
123	11.524	0.008
124	10.845	0.008
125	10.06	0.008
126	10.001	0.008
127	10.019	0.008
128	9.807	0.008
129	9.963	0.008
130	9.975	0.008
131	9.906	0.008
132	9.949	0.008
133	9.84	0.008
134	9.853	0.008
135	9.949	0.008
136	9.791	0.008
137	9.975	0.008
138	9.955	0.008
139	10.071	0.008
140	9.876	0.008
141	9.95	0.008
142	9.944	0.008
143	9.823	0.008
144	9.952	0.008
145	9.866	0.008
146	9.962	0.008
147	9.814	0.008
148	9.876	0.008
149	9.94	0.008
150	9.963	0.008
1	9.842	0.016
2	9.893	0.016
3	9.977	0.016
4	10.094	0.016
5	9.86	0.016
6	9.992	0.016
7	9.827	0.016
8	10.191	0.016
9	10.139	0.016
10	10.052	0.016
11	9.955	0.016
12	10.032	0.016
13	10.001	0.016
14	9.869	0.016
15	10.042	0.016
16	9.922	0.016
17	10.033	0.016
18	9.906	0.016
19	10.403	0.016
20	10.079	0.016
21	10.106	0.016
22	10.231	0.016
23	10.144	0.016
24	9.936	0.016
25	10.026	0.016
26	9.903	0.016
27	10.028	0.016
28	9.895	0.016
29	10.023	0.016
30	10.008	0.016
31	1.038	0.016
32	9.968	0.016
33	9.869	0.016
34	1.232	0.016
35	9.947	0.016
36	9.915	0.016
37	9.904	0.016
38	9.998	0.016
39	9.972	0.016
40	9.866	0.016
41	10.029	0.016
42	9.912	0.016
43	10.041	0.016
44	9.844	0.016
45	10.029	0.016
46	9.934	0.016
47	9.913	0.016
48	9.88	0.016
49	9.953	0.016
50	10.028	0.016
51	9.843	0.016
52	9.884	0.016
53	10.022	0.016
54	9.945	0.016
55	9.942	0.016
56	9.994	0.016
57	9.998	0.016
58	10.021	0.016
59	10.182	0.016
60	10.048	0.016
61	10.027	0.016
62	9.969	0.016
63	10.033	0.016
64	10.059	0.016
65	9.909	0.016
66	9.991	0.016
67	10.005	0.016
68	10.064	0.016
69	9.955	0.016
70	10.032	0.016
71	9.898	0.016
72	10.197	0.016
73	9.889	0.016
74	9.949	0.016
75	10.099	0.016
76	10.101	0.016
77	9.903	0.016
78	10.04	0.016
79	9.972	0.016
80	10.111	0.016
81	9.982	0.016
82	10.039	0.016
83	9.965	0.016
84	10.068	0.016
85	9.957	0.016
86	10.04	0.016
87	9.933	0.016
88	10.043	0.016
89	10.067	0.016
90	10.022	0.016
91	10.02	0.016
92	9.902	0.016
93	10.084	0.016
94	9.881	0.016
95	10.031	0.016
96	9.869	0.016
97	10.063	0.016
98	9.899	0.016
99	2.313	0.016
100	10.065	0.016
101	9.907	0.016
102	10.1	0.016
103	10.002	0.016
104	8.889	0.016
105	10.109	0.016
106	9.888	0.016
107	10.063	0.016
108	3.467	0.016
109	10.102	0.016
110	9.905	0.016
111	10.039	0.016
112	9.931	0.016
113	10.002	0.016
114	9.911	0.016
115	9.873	0.016
116	10.014	0.016
117	9.996	0.016
118	9.887	0.016
119	9.964	0.016
120	10.118	0.016
121	10.077	0.016
122	9.829	0.016
123	10.179	0.016
124	9.868	0.016
125	9.947	0.016
126	1.051	0.016
127	10.054	0.016
128	9.863	0.016
129	10.009	0.016
130	8.897	0.016
131	9.894	0.016
132	9.989	0.016
133	10.393	0.016
134	11.723	0.016
135	11.26	0.016
136	10.807	0.016
137	10.696	0.016
138	11.269	0.016
139	10.458	0.016
140	10.257	0.016
141	11.241	0.016
142	10.407	0.016
143	11.399	0.016
144	10.777	0.016
145	12.008	0.016
146	10.551	0.016
147	10.281	0.016
148	4.95	0.016
149	10.673	0.016
150	10.539	0.016
1	10.521	0.024
2	10.585	0.024
3	10.569	0.024
4	10.666	0.024
5	10.08	0.024
6	10.322	0.024
7	10.301	0.024
8	10.64	0.024
9	10.052	0.024
10	10.209	0.024
11	8.022	0.024
12	10.071	0.024
13	9.891	0.024
14	10.08	0.024
15	9.893	0.024
16	10.392	0.024
17	10.563	0.024
18	10.75	0.024
19	11.029	0.024
20	10.534	0.024
21	10.249	0.024
22	10.375	0.024
23	10.333	0.024
24	10.014	0.024
25	10.108	0.024
26	10.218	0.024
27	10.3	0.024
28	10.316	0.024
29	10.478	0.024
30	10.34	0.024
31	1.131	0.024
32	10.325	0.024
33	10.389	0.024
34	1.119	0.024
35	10.347	0.024
36	10.202	0.024
37	3.634	0.024
38	11.219	0.024
39	1.123	0.024
40	10.469	0.024
41	10.801	0.024
42	10.804	0.024
43	10.278	0.024
44	10.381	0.024
45	10.228	0.024
46	10.146	0.024
47	10.251	0.024
48	10.343	0.024
49	10.059	0.024
50	10.238	0.024
51	10.136	0.024
52	10.273	0.024
53	10.215	0.024
54	5.654	0.024
55	10.14	0.024
56	10.29	0.024
57	10.11	0.024
58	10.131	0.024
59	10.358	0.024
60	10.197	0.024
61	10.136	0.024
62	10.303	0.024
63	10.141	0.024
64	10.545	0.024
65	10.334	0.024
66	10.318	0.024
67	10.397	0.024
68	10.322	0.024
69	10.442	0.024
70	10.313	0.024
71	10.3	0.024
72	10.154	0.024
