Img	Time(s)	Epsilon
1	14.931	0.008
2	10.011	0.008
3	9.965	0.008
4	10.603	0.008
5	9.993	0.008
6	10.002	0.008
7	10.01	0.008
8	10.03	0.008
9	10.207	0.008
10	10.192	0.008
11	10.459	0.008
12	10.135	0.008
13	10.112	0.008
14	9.974	0.008
15	10.179	0.008
16	9.968	0.008
17	10.12	0.008
18	10.834	0.008
19	10.473	0.008
20	10.166	0.008
21	10.02	0.008
22	10.061	0.008
23	10.494	0.008
24	10.002	0.008
25	9.99	0.008
26	9.901	0.008
27	10.616	0.008
28	9.824	0.008
29	9.879	0.008
30	9.753	0.008
31	1.254	0.008
32	9.773	0.008
33	9.931	0.008
34	1.096	0.008
35	9.806	0.008
36	9.93	0.008
37	9.944	0.008
38	9.829	0.008
39	10.762	0.008
40	9.981	0.008
41	9.906	0.008
42	10.11	0.008
43	10.06	0.008
44	10.522	0.008
45	9.931	0.008
46	9.835	0.008
47	10.026	0.008
48	9.924	0.008
49	10.089	0.008
50	10.046	0.008
51	9.851	0.008
52	10.088	0.008
53	9.986	0.008
54	9.954	0.008
55	9.909	0.008
56	9.906	0.008
57	9.935	0.008
58	9.988	0.008
59	9.968	0.008
60	9.929	0.008
61	10.024	0.008
62	10.411	0.008
63	10.429	0.008
64	10.004	0.008
65	9.949	0.008
66	9.939	0.008
67	10.034	0.008
68	10.072	0.008
69	10.077	0.008
70	9.932	0.008
71	10.375	0.008
72	10.053	0.008
73	9.823	0.008
74	10.141	0.008
75	9.942	0.008
76	10.061	0.008
77	10.017	0.008
78	10.127	0.008
79	10.188	0.008
80	10.213	0.008
81	9.913	0.008
82	10.016	0.008
83	10.121	0.008
84	9.861	0.008
85	10.336	0.008
86	10.111	0.008
87	9.923	0.008
88	9.926	0.008
89	9.922	0.008
90	9.84	0.008
91	9.871	0.008
92	10.032	0.008
93	10.21	0.008
94	9.98	0.008
95	10.675	0.008
96	9.898	0.008
97	10.47	0.008
98	10.139	0.008
99	2.487	0.008
100	9.754	0.008
101	10.2	0.008
102	9.828	0.008
103	9.903	0.008
104	10.624	0.008
105	10.343	0.008
106	10.089	0.008
107	10.514	0.008
108	4.952	0.008
109	10.222	0.008
110	10.017	0.008
111	9.982	0.008
112	10.088	0.008
113	10.367	0.008
114	9.962	0.008
115	9.937	0.008
116	9.925	0.008
117	10.025	0.008
118	9.885	0.008
119	9.736	0.008
120	9.9	0.008
121	9.736	0.008
122	9.992	0.008
123	10.733	0.008
124	10.31	0.008
125	10.048	0.008
126	10.596	0.008
127	10.309	0.008
