Img	Time(s)	Epsilon
2	11.206	0.008
3	10.052	0.008
4	10.44	0.008
5	10.974	0.008
6	10.218	0.008
7	10.632	0.008
8	10.234	0.008
9	10.631	0.008
10	9.813	0.008
11	9.636	0.008
12	10.124	0.008
13	9.664	0.008
14	9.792	0.008
15	9.641	0.008
16	9.778	0.008
17	9.958	0.008
18	9.787	0.008
19	11.041	0.008
20	10.608	0.008
21	9.94	0.008
22	9.546	0.008
23	9.676	0.008
24	11.227	0.008
25	10.315	0.008
26	10.046	0.008
27	10.448	0.008
28	10.334	0.008
29	9.814	0.008
30	9.758	0.008
31	9.664	0.008
32	1.069	0.008
33	10.572	0.008
34	10.728	0.008
35	11.393	0.008
36	10.248	0.008
37	9.606	0.008
38	9.684	0.008
39	9.693	0.008
40	10.6	0.008
41	10.693	0.008
42	9.792	0.008
43	9.886	0.008
44	10.276	0.008
45	9.785	0.008
46	10.458	0.008
47	10.286	0.008
48	9.758	0.008
49	10.644	0.008
50	10.665	0.008
51	10.774	0.008
52	10.313	0.008
53	9.85	0.008
54	10.161	0.008
55	10.857	0.008
56	10.19	0.008
57	9.856	0.008
58	9.555	0.008
59	9.745	0.008
60	9.545	0.008
61	10.692	0.008
62	10.622	0.008
63	9.962	0.008
64	9.981	0.008
65	9.998	0.008
66	9.795	0.008
67	10.251	0.008
68	10.551	0.008
69	9.715	0.008
70	10.33	0.008
71	9.665	0.008
72	10.151	0.008
73	10.369	0.008
74	9.751	0.008
75	9.689	0.008
76	9.834	0.008
77	9.729	0.008
78	10.283	0.008
79	10.83	0.008
80	12.505	0.008
81	10.237	0.008
82	9.817	0.008
83	10.333	0.008
84	9.953	0.008
85	10.463	0.008
86	10.648	0.008
87	10.469	0.008
88	10.241	0.008
89	10.249	0.008
90	10.034	0.008
91	10.201	0.008
92	10.178	0.008
93	10.474	0.008
94	10.621	0.008
95	10.258	0.008
96	10.386	0.008
97	10.73	0.008
98	10.403	0.008
99	9.856	0.008
100	2.517	0.008
101	9.951	0.008
102	9.71	0.008
103	10.221	0.008
104	10.36	0.008
105	10.636	0.008
106	11.153	0.008
107	10.294	0.008
108	10.369	0.008
109	4.623	0.008
110	9.956	0.008
111	10.548	0.008
112	10.117	0.008
113	9.876	0.008
114	9.751	0.008
115	10.259	0.008
116	9.938	0.008
117	9.924	0.008
118	9.922	0.008
119	9.653	0.008
120	9.761	0.008
121	9.633	0.008
122	9.829	0.008
123	9.806	0.008
124	10.043	0.008
125	9.878	0.008
126	9.532	0.008
127	10.657	0.008
128	10.116	0.008
129	9.655	0.008
130	10.218	0.008
131	10.743	0.008
132	10.997	0.008
133	10.585	0.008
134	10.233	0.008
135	9.932	0.008
136	9.977	0.008
137	10.513	0.008
138	10.235	0.008
139	9.91	0.008
140	9.766	0.008
141	9.669	0.008
142	9.777	0.008
143	9.743	0.008
144	9.63	0.008
145	9.891	0.008
146	9.68	0.008
147	9.777	0.008
148	9.795	0.008
149	3.4	0.008
150	9.806	0.008
151	9.877	0.008
2	10.813	0.016
3	10.233	0.016
4	10.192	0.016
5	10.943	0.016
6	10.283	0.016
7	10.438	0.016
8	9.968	0.016
9	10.638	0.016
10	10.377	0.016
11	10.536	0.016
12	10.496	0.016
13	9.893	0.016
14	9.862	0.016
15	9.619	0.016
16	9.948	0.016
17	9.959	0.016
18	10.047	0.016
19	9.729	0.016
20	10.69	0.016
21	10.482	0.016
22	10.323	0.016
23	10.089	0.016
24	10.07	0.016
25	9.966	0.016
26	9.885	0.016
27	9.837	0.016
28	9.957	0.016
29	9.773	0.016
30	10.14	0.016
31	9.916	0.016
32	1.149	0.016
33	9.9	0.016
34	9.832	0.016
35	3.712	0.016
36	9.978	0.016
37	9.906	0.016
38	12.591	0.016
39	10.629	0.016
40	10.547	0.016
41	10.329	0.016
42	10.004	0.016
43	10.009	0.016
44	10.23	0.016
45	10.197	0.016
46	9.738	0.016
47	9.941	0.016
48	10.327	0.016
49	9.736	0.016
50	9.856	0.016
51	10.03	0.016
52	9.907	0.016
53	9.797	0.016
54	9.877	0.016
55	10.154	0.016
56	10.227	0.016
57	9.879	0.016
58	9.839	0.016
59	10.369	0.016
60	10.038	0.016
61	9.744	0.016
62	9.872	0.016
63	10.418	0.016
64	9.917	0.016
65	10.414	0.016
66	11.025	0.016
67	10.082	0.016
68	9.922	0.016
69	10.339	0.016
70	9.636	0.016
71	9.745	0.016
72	9.76	0.016
73	9.853	0.016
74	10.102	0.016
75	10.115	0.016
76	9.921	0.016
77	9.935	0.016
78	10.872	0.016
79	9.983	0.016
80	10.451	0.016
81	10.013	0.016
82	9.892	0.016
83	9.915	0.016
84	9.74	0.016
85	10.967	0.016
86	11.289	0.016
87	10.69	0.016
88	10.325	0.016
89	10.567	0.016
90	9.848	0.016
91	9.725	0.016
92	9.825	0.016
93	9.754	0.016
94	10.409	0.016
95	10.132	0.016
96	9.804	0.016
97	9.967	0.016
98	10.081	0.016
99	10.447	0.016
100	2.352	0.016
101	9.86	0.016
102	10.17	0.016
103	9.955	0.016
104	9.68	0.016
105	10.268	0.016
106	10.277	0.016
107	10.04	0.016
108	9.996	0.016
109	1.219	0.016
110	10.103	0.016
