Img	Time(s)	Epsilon
1	32.731	0.05
2	23.062	0.05
3	21.618	0.05
4	24.239	0.05
5	21.976	0.05
6	20.263	0.05
7	21.219	0.05
8	25.283	0.05
9	20.22	0.05
10	22.964	0.05
11	20.497	0.05
12	19.168	0.05
13	21.715	0.05
14	21.042	0.05
15	20.524	0.05
16	22.022	0.05
17	21.247	0.05
18	21.735	0.05
19	23.853	0.05
20	20.801	0.05
21	24.035	0.05
22	27.555	0.05
23	23.278	0.05
24	21.323	0.05
25	20.124	0.05
26	19.486	0.05
27	28.712	0.05
28	22.346	0.05
29	24.353	0.05
30	24.318	0.05
31	27.826	0.05
32	21.691	0.05
33	21.883	0.05
34	3.249	0.05
35	22.06	0.05
36	23.515	0.05
37	22.031	0.05
38	21.505	0.05
39	25.937	0.05
40	23.788	0.05
41	22.645	0.05
42	22.066	0.05
43	14.106	0.05
44	22.107	0.05
45	20.12	0.05
46	22.176	0.05
47	23.398	0.05
48	20.931	0.05
49	20.107	0.05
50	22.519	0.05
51	20.315	0.05
52	23.06	0.05
53	24.662	0.05
54	23.816	0.05
55	22.674	0.05
56	19.121	0.05
57	23.647	0.05
58	19.336	0.05
59	19.566	0.05
60	21.673	0.05
61	20.382	0.05
62	21.516	0.05
63	24.684	0.05
64	22.628	0.05
65	21.937	0.05
66	21.712	0.05
67	20.123	0.05
68	26.993	0.05
69	21.353	0.05
70	20.243	0.05
71	23.333	0.05
72	20.6	0.05
73	21.229	0.05
74	22.691	0.05
75	23.458	0.05
76	23.731	0.05
77	20.28	0.05
78	22.581	0.05
79	25.706	0.05
80	12.115	0.05
81	20.927	0.05
82	21.814	0.05
83	20.681	0.05
84	21.595	0.05
85	23.239	0.05
86	24.104	0.05
87	21.677	0.05
88	21.679	0.05
89	21.752	0.05
90	21.784	0.05
91	19.753	0.05
92	22.807	0.05
93	23.395	0.05
94	22.137	0.05
95	20.516	0.05
96	21.685	0.05
97	21.614	0.05
98	25.462	0.05
99	2.986	0.05
100	22.016	0.05
101	20.613	0.05
102	22.584	0.05
103	21.187	0.05
104	9.749	0.05
105	23.494	0.05
106	25.12	0.05
107	21.002	0.05
108	2.388	0.05
109	28.012	0.05
110	22.555	0.05
111	21.915	0.05
112	22.42	0.05
113	20.326	0.05
114	24.814	0.05
115	19.985	0.05
116	23.275	0.05
117	22.169	0.05
118	21.485	0.05
119	21.651	0.05
120	19.898	0.05
121	21.334	0.05
122	22.436	0.05
123	20.928	0.05
124	22.449	0.05
125	20.915	0.05
126	23.964	0.05
127	21.233	0.05
128	23.242	0.05
129	21.092	0.05
130	23.177	0.05
131	20.793	0.05
132	21.507	0.05
133	22.858	0.05
134	21.816	0.05
135	21.273	0.05
136	22.753	0.05
137	23.091	0.05
138	21.466	0.05
139	23.363	0.05
140	17.877	0.05
141	22.278	0.05
142	20.59	0.05
143	21.083	0.05
144	21.429	0.05
145	20.791	0.05
146	22.899	0.05
147	22.88	0.05
148	2.273	0.05
149	18.719	0.05
150	22.406	0.05
1	30.259	0.1
2	21.847	0.1
3	28.593	0.1
4	34.364	0.1
5	27.367	0.1
6	25.279	0.1
7	25.446	0.1
8	29.788	0.1
9	27.16	0.1
10	37.594	0.1
11	32.821	0.1
12	23.407	0.1
13	28.595	0.1
14	20.817	0.1
15	28.319	0.1
16	24.483	0.1
17	26.234	0.1
18	27.761	0.1
19	30.837	0.1
20	28.839	0.1
21	33.299	0.1
22	34.167	0.1
23	32.332	0.1
24	28.118	0.1
25	24.008	0.1
26	25.582	0.1
27	31.379	0.1
28	34.876	0.1
29	30.174	0.1
30	33.782	0.1
31	31.094	0.1
32	23.39	0.1
33	27.902	0.1
34	3.769	0.1
35	27.418	0.1
36	27.585	0.1
37	33.499	0.1
38	23.346	0.1
39	37.25	0.1
40	29.582	0.1
41	28.572	0.1
42	28.164	0.1
43	15.339	0.1
44	29.602	0.1
45	27.688	0.1
46	24.664	0.1
47	36.621	0.1
48	23.254	0.1
49	24.416	0.1
50	34.307	0.1
51	24.706	0.1
52	38.717	0.1
53	31.482	0.1
54	34.261	0.1
55	29.132	0.1
56	24.003	0.1
57	30.056	0.1
58	28.676	0.1
59	25.218	0.1
60	25.822	0.1
61	27.35	0.1
62	24.537	0.1
63	35.93	0.1
64	31.093	0.1
65	25.194	0.1
66	26.682	0.1
67	26.386	0.1
68	36.03	0.1
69	23.544	0.1
70	26.501	0.1
71	33.157	0.1
72	30.367	0.1
73	26.004	0.1
74	24.724	0.1
75	32.594	0.1
76	28.612	0.1
77	30.347	0.1
78	30.549	0.1
79	37.599	0.1
80	31.752	0.1
81	25.997	0.1
82	27.227	0.1
83	25.34	0.1
84	26.17	0.1
85	13.869	0.1
86	35.426	0.1
87	25.576	0.1
88	27.438	0.1
89	24.442	0.1
90	25.129	0.1
91	25.561	0.1
92	32.308	0.1
93	34.875	0.1
94	34.36	0.1
95	29.458	0.1
96	29.714	0.1
97	32.108	0.1
98	35.69	0.1
99	4.288	0.1
100	28.917	0.1
101	27.749	0.1
102	22.2	0.1
103	33.695	0.1
104	2.279	0.1
105	34.04	0.1
106	32.71	0.1
107	24.636	0.1
108	3.455	0.1
109	33.21	0.1
110	26.013	0.1
111	30.822	0.1
112	37.298	0.1
113	29.091	0.1
114	38.181	0.1
115	22.799	0.1
116	31.972	0.1
117	28.609	0.1
118	25.38	0.1
119	21.427	0.1
120	21.548	0.1
121	32.953	0.1
122	23.317	0.1
123	29.969	0.1
124	29.502	0.1
125	22.305	0.1
126	33.535	0.1
127	35.996	0.1
128	26.663	0.1
129	28.646	0.1
130	27.097	0.1
131	27.774	0.1
132	27.019	0.1
133	32.66	0.1
134	27.244	0.1
135	27.292	0.1
136	30.427	0.1
137	58.25	0.1
138	39.399	0.1
139	28.05	0.1
140	23.6	0.1
141	29.647	0.1
142	36.458	0.1
143	25.8	0.1
144	27.202	0.1
145	25.712	0.1
146	32.64	0.1
147	39.602	0.1
148	3.889	0.1
149	21.5	0.1
150	30.212	0.1
1	39.217	0.15
2	26.084	0.15
3	33.227	0.15
4	33.966	0.15
5	31.328	0.15
6	31.165	0.15
7	35.107	0.15
8	32.562	0.15
9	29.839	0.15
10	39.457	0.15
11	34.076	0.15
12	35.146	0.15
13	33.711	0.15
14	28.413	0.15
15	30.704	0.15
16	32.207	0.15
17	32.462	0.15
18	35.454	0.15
19	35.502	0.15
20	30.861	0.15
21	32.055	0.15
22	30.456	0.15
23	38.589	0.15
24	36.055	0.15
25	30.309	0.15
26	33.879	0.15
27	30.75	0.15
28	33.162	0.15
29	31.533	0.15
30	36.502	0.15
31	2.981	0.15
32	30.568	0.15
33	38.829	0.15
34	3.414	0.15
35	37.128	0.15
36	32.746	0.15
37	38.283	0.15
38	30.101	0.15
39	3.78	0.15
40	32.766	0.15
41	31.456	0.15
42	33.085	0.15
43	9.845	0.15
44	34.09	0.15
45	40.236	0.15
46	30.06	0.15
47	33.689	0.15
48	34.378	0.15
49	32.577	0.15
50	32.414	0.15
51	33.608	0.15
52	34.874	0.15
53	32.642	0.15
54	30.853	0.15
55	33.208	0.15
56	30.681	0.15
57	34.856	0.15
58	34.902	0.15
59	34.201	0.15
60	32.006	0.15
61	30.912	0.15
62	30.952	0.15
63	30.617	0.15
64	36.199	0.15
65	32.9	0.15
66	31.741	0.15
67	32.571	0.15
68	31.267	0.15
69	31.489	0.15
70	33.795	0.15
71	32.146	0.15
72	31.232	0.15
73	33.207	0.15
74	32.794	0.15
75	35.016	0.15
76	30.673	0.15
77	33.719	0.15
78	34.681	0.15
