Img	Time(s)	Epsilon
129	27.099	0.1
130	28.457	0.1
131	23.923	0.1
132	24.749	0.1
133	28.464	0.1
134	26.595	0.1
135	26.036	0.1
136	30.099	0.1
137	56.579	0.1
138	49.237	0.1
139	30.116	0.1
140	29.468	0.1
141	33.272	0.1
142	29.523	0.1
143	29.507	0.1
144	33.394	0.1
145	28.243	0.1
146	26.735	0.1
147	30.792	0.1
148	5.704	0.1
149	24.486	0.1
150	29.865	0.1
1	32.078	0.15
2	28.949	0.15
3	33.114	0.15
4	27.628	0.15
5	29.694	0.15
6	29.064	0.15
7	31.606	0.15
8	31.981	0.15
9	7.766	0.15
10	34.737	0.15
11	2.794	0.15
12	31.544	0.15
13	32.359	0.15
14	33.188	0.15
15	30.995	0.15
16	33.263	0.15
17	31.452	0.15
18	32.599	0.15
19	33.493	0.15
20	33.808	0.15
21	44.199	0.15
22	36.351	0.15
23	30.475	0.15
24	33.313	0.15
25	28.907	0.15
26	36.972	0.15
27	33.035	0.15
28	32.496	0.15
29	30.457	0.15
30	33.379	0.15
31	4.594	0.15
32	24.2	0.15
33	35.506	0.15
34	3.686	0.15
35	30.38	0.15
36	29.949	0.15
37	32.748	0.15
38	30.851	0.15
39	38.76	0.15
40	28.826	0.15
41	29.993	0.15
42	28.302	0.15
43	34.688	0.15
44	36.816	0.15
45	46.652	0.15
46	30.853	0.15
47	31.479	0.15
48	48.342	0.15
49	25.66	0.15
50	33.595	0.15
51	60.7	0.15
52	29.529	0.15
53	38.024	0.15
54	33.598	0.15
55	31.379	0.15
56	27.662	0.15
57	34.263	0.15
58	31.391	0.15
59	31.044	0.15
60	37.849	0.15
61	36.611	0.15
62	33.847	0.15
63	31.009	0.15
64	35.194	0.15
65	31.341	0.15
66	30.613	0.15
67	30.04	0.15
68	30.915	0.15
69	32.487	0.15
70	31.324	0.15
71	35.758	0.15
72	28.307	0.15
73	33.948	0.15
74	31.167	0.15
75	37.139	0.15
76	30.279	0.15
77	32.411	0.15
78	27.532	0.15
79	40.518	0.15
80	34.15	0.15
81	33.603	0.15
82	34.093	0.15
83	27.15	0.15
84	44.529	0.15
85	39.331	0.15
86	36.867	0.15
87	33.599	0.15
88	33.181	0.15
89	30.912	0.15
90	31.346	0.15
91	30.29	0.15
92	32.193	0.15
93	31.96	0.15
94	33.651	0.15
95	38.622	0.15
96	33.98	0.15
97	30.467	0.15
98	38.692	0.15
99	3.416	0.15
100	34.941	0.15
101	30.967	0.15
102	29.294	0.15
103	32.396	0.15
104	36.708	0.15
105	30.757	0.15
106	39.44	0.15
107	75.832	0.15
108	13.684	0.15
109	32.862	0.15
110	28.793	0.15
111	34.829	0.15
112	29.493	0.15
113	32.293	0.15
114	37.04	0.15
115	31.39	0.15
116	34.629	0.15
117	33.296	0.15
118	31.949	0.15
119	34.583	0.15
120	37.508	0.15
121	34.508	0.15
122	31.979	0.15
123	31.222	0.15
124	35.173	0.15
125	31.321	0.15
126	3.513	0.15
127	34.811	0.15
128	30.425	0.15
129	31.562	0.15
130	28.325	0.15
131	66.828	0.15
132	27.143	0.15
133	31.453	0.15
134	42.331	0.15
135	29.996	0.15
136	35.878	0.15
137	35.238	0.15
138	30.585	0.15
139	33.255	0.15
140	30.028	0.15
141	29.855	0.15
142	32.553	0.15
143	32.778	0.15
144	35.834	0.15
145	32.922	0.15
146	37.442	0.15
147	34.426	0.15
148	12.231	0.15
149	26.538	0.15
150	33.334	0.15
1	36.222	0.2
2	33.822	0.2
3	36.633	0.2
4	30.439	0.2
5	36.142	0.2
6	36.225	0.2
7	33.508	0.2
8	32.987	0.2
9	12.103	0.2
10	31.533	0.2
11	17.766	0.2
12	32.949	0.2
13	39.921	0.2
14	34.19	0.2
15	30.796	0.2
16	41.608	0.2
17	39.616	0.2
18	31.968	0.2
19	35.132	0.2
20	34.143	0.2
21	41.295	0.2
22	41.178	0.2
23	36.193	0.2
24	34.836	0.2
25	33.697	0.2
26	42.527	0.2
27	35.174	0.2
28	38.353	0.2
29	37.058	0.2
30	37.92	0.2
31	4.379	0.2
32	32.648	0.2
33	28.172	0.2
34	11.263	0.2
35	29.056	0.2
36	38.18	0.2
37	34.474	0.2
38	38.059	0.2
39	45.939	0.2
40	31.397	0.2
41	36.455	0.2
42	29.328	0.2
43	51.182	0.2
44	38.801	0.2
45	37.977	0.2
46	30.505	0.2
47	36.353	0.2
48	42.555	0.2
49	37.315	0.2
50	32.718	0.2
51	32.893	0.2
52	35.74	0.2
53	34.028	0.2
54	38.226	0.2
55	36.814	0.2
56	34.498	0.2
57	37.597	0.2
58	30.388	0.2
59	30.461	0.2
60	38.571	0.2
61	41.223	0.2
62	41.453	0.2
63	35.641	0.2
64	40.936	0.2
65	35.505	0.2
66	36.557	0.2
67	29.101	0.2
68	33.383	0.2
69	46.043	0.2
70	37.46	0.2
71	36.507	0.2
72	32.439	0.2
73	30.554	0.2
74	37.648	0.2
75	34.321	0.2
76	34.404	0.2
77	29.655	0.2
78	38.014	0.2
79	46.798	0.2
80	37.027	0.2
81	35.333	0.2
82	38.473	0.2
83	38.901	0.2
84	37.751	0.2
85	36.002	0.2
86	31.534	0.2
87	35.293	0.2
