Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	-7.507370458432697	2
1	1	0.025	-7.450397496613918	2
1	3	0.025	-4.885928524795373	2
1	4	0.025	-7.508442235318082	2
1	5	0.025	-7.399687613862079	2
1	6	0.025	-7.5699162617562195	2
1	7	0.025	-7.583210758624683	2
1	8	0.025	-7.555512195189225	2
1	9	0.025	-7.509331232920676	2
2	1	0.025	-7.646170155998289	0
2	2	0.025	-7.51511631562928	0
2	3	0.025	-7.728167236321563	0
2	4	0.025	-7.748851866538591	0
2	5	0.025	-7.58485608131967	0
2	6	0.025	-7.677957517515425	0
2	7	0.025	-7.731592012082996	0
2	8	0.025	-7.6947994474560915	0
2	9	0.025	-7.697974297191616	0
3	0	0.025	-7.9614524663618695	4
3	1	0.025	-7.886295855301145	4
3	2	0.025	-7.924685659132082	4
3	3	0.025	-8.01067269007273	4
3	5	0.025	-7.918031893173638	4
3	6	0.025	-8.03973584709392	4
3	7	0.025	-5.925831308493793	4
3	8	0.025	-7.9985379868127415	4
3	9	0.025	-6.9603112140039345	4
4	0	0.025	-7.767098410596697	8
4	1	0.025	-7.69585810511648	8
4	2	0.025	-7.509899412742563	8
4	3	0.025	-7.32835296979853	8
4	4	0.025	-7.912049998827942	8
4	5	0.025	-7.6820904232286455	8
4	6	0.025	-7.792413708279109	8
4	7	0.025	-7.825260804133968	8
4	9	0.025	-7.743155134572972	8
5	0	0.025	-7.5391173197791215	7
5	1	0.025	-7.467746583215631	7
5	2	0.025	-7.375858854661586	7
5	3	0.025	-7.53242003830563	7
5	4	0.025	-7.538895161528883	7
5	5	0.025	-7.5192401213925315	7
5	6	0.025	-7.6346178421132915	7
5	8	0.025	-7.607247794423065	7
5	9	0.025	-7.346868592816319	7
6	0	0.025	-7.839592620499253	6
6	1	0.025	-7.779953521466867	6
6	2	0.025	-7.662083130690955	6
6	3	0.025	-7.897907459906224	6
6	4	0.025	-7.7188236649222395	6
6	5	0.025	-7.7224158283153015	6
6	7	0.025	-7.870390743246421	6
6	8	0.025	-7.853902086463087	6
6	9	0.025	-7.854585740713058	6
7	1	0.025	-7.647707155047944	0
7	2	0.025	-7.501378740928767	0
7	3	0.025	-7.724017476406525	0
7	4	0.025	-7.761648683908945	0
7	5	0.025	-7.586553889291768	0
7	6	0.025	-7.697798912826242	0
7	7	0.025	-7.526176930532133	0
7	8	0.025	-7.708827905486762	0
7	9	0.025	-7.434856628422115	0
8	0	0.025	-6.401805673056006	6
8	1	0.025	-6.345510701074324	6
8	2	0.025	-6.239020285341513	6
8	3	0.025	-6.421307542958473	6
8	4	0.025	-6.468286276524691	6
8	5	0.025	-3.7492398581585507	6
8	7	0.025	-6.452640028034073	6
8	8	0.025	-4.817225908069943	6
8	9	0.025	-6.418557356115322	6
9	0	0.025	-1.274096656337944	3
9	1	0.025	-1.213091222503319	3
9	2	0.025	-1.0120903059453523	3
9	4	0.025	-1.4581561967084167	3
9	5	0.025	0.9941852724968865	3
9	6	0.025	-1.320695340715141	3
9	7	0.025	-1.357406742935178	3
9	8	0.025	-1.254654637507574	3
9	9	0.025	-1.2757486921142052	3
10	0	0.025	-7.646638908397962	1
10	2	0.025	-7.341924415007495	1
10	3	0.025	-7.650578408880992	1
10	4	0.025	-7.658094454233335	1
10	5	0.025	-7.609826229407619	1
10	6	0.025	-7.700041408126449	1
10	7	0.025	-7.592834511539472	1
10	8	0.025	-7.698515411174336	1
10	9	0.025	-7.621187879176219	1
11	0	0.025	-7.753176077259981	8
11	1	0.025	-7.690803196731783	8
11	2	0.025	-6.998643175395497	8
11	3	0.025	-7.763404883789574	8
11	4	0.025	-7.787146569713068	8
11	5	0.025	-7.680405506811331	8
11	6	0.025	-4.232917089488188	8
