Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	-7.592417911628576	2
1	1	0.025	-7.6100656251804475	2
1	3	0.025	-7.151039826690881	2
1	4	0.025	-7.7626324011921	2
1	5	0.025	-7.769413186909135	2
1	6	0.025	-7.81412944708503	2
1	7	0.025	-7.776745964613338	2
1	8	0.025	-7.665692238352713	2
1	9	0.025	-7.6945801577826884	2
2	1	0.025	-7.500519182783561	0
2	2	0.025	-7.584000072204255	0
2	3	0.025	-7.489405275756495	0
2	4	0.025	-7.636433066354072	0
2	5	0.025	-7.638883318426909	0
2	6	0.025	-7.617255907465218	0
2	7	0.025	-7.608348352681413	0
2	8	0.025	-7.524052820503987	0
2	9	0.025	-7.547856215802232	0
3	0	0.025	-7.911088145215667	4
3	1	0.025	-7.9148578781384815	4
3	2	0.025	-8.00161797650203	4
3	3	0.025	-7.986075811932652	4
3	5	0.025	-8.051502435425553	4
3	6	0.025	-8.069289390478064	4
3	7	0.025	-6.369810079766701	4
3	8	0.025	-7.929991983409538	4
3	9	0.025	-7.168146063867199	4
4	0	0.025	-6.970848575749998	8
4	1	0.025	-7.005615167930093	8
4	2	0.025	-7.12052452483129	8
4	3	0.025	-6.658545497754426	8
4	4	0.025	-7.207938522525644	8
4	5	0.025	-7.1702272200419035	8
4	6	0.025	-4.9607623648663015	8
4	7	0.025	-7.160419237205746	8
4	9	0.025	-7.087867641728385	8
5	0	0.025	-7.575194944405211	7
5	1	0.025	-7.513917476657666	7
5	2	0.025	-7.211259106340121	7
5	3	0.025	-7.502795586699523	7
5	4	0.025	-7.616933485491037	7
5	5	0.025	-7.736846229308211	7
5	6	0.025	-7.715217834880131	7
5	8	0.025	-7.5538603193402265	7
5	9	0.025	-7.484194218831402	7
6	0	0.025	-7.554215525950029	6
6	1	0.025	-7.6356948155573825	6
6	2	0.025	-7.722606379613835	6
6	3	0.025	-7.638541231696058	6
6	4	0.025	-7.768194394245307	6
6	5	0.025	-7.728788567264297	6
6	7	0.025	-7.740298560858196	6
6	8	0.025	-7.669262062286701	6
6	9	0.025	-7.707026504096399	6
7	1	0.025	-7.498635812812275	0
7	2	0.025	-7.583706510933466	0
7	3	0.025	-7.484867506159425	0
7	4	0.025	-7.645666997435866	0
7	5	0.025	-7.642658455058841	0
7	6	0.025	-7.670749825612632	0
7	7	0.025	-7.602863854241333	0
7	8	0.025	-7.521570582593575	0
7	9	0.025	-7.540472450989773	0
8	0	0.025	-7.5432561418706126	6
8	1	0.025	-7.608832031213666	6
